Área Geográfica,,XI Censo general de población y vivienda 1990,,,,,,,,,,,,,,,,,,,,
,,Hogares,,,,,,,,,,,,,,,,,,,,
,,Hogares (Hogares),,,,,,,,,,,Población en hogares (Hogares),,,,,,,,,
,,Sexo del jefe,,,Tamaño localidad 15 tam,,,,,,,,Sexo del jefe,,,Tamaño localidad 15 tam,,,,,,
Clave,Nombre,Total,Hombres,Mujeres,Total,"Menos de 2,500 habitantes",1 a 49  habitantes,50 a 99  habitantes,100 a 499 habitantes,500 a 999 habitantes,"1,000 a 1,999 habitantes","2,000 a 2,499 habitantes",Total,Hombres,Mujeres,Total,"Menos de 2,500 habitantes","2,500 a 14,999 habitantes","15,000 a 99,999 habitantes","100,000 a 999,999 habitantes","1,000,000 y más habitantes",No aplica para viviendas colectivas
26014,Baviácora,852,737,115,852,852,18,10,411,,,413,3971,3554,417,3971,3971,,,,,
26015,Bavispe,389,335,54,389,389,33,4,30,322,,,1737,1559,178,1737,1737,,,,,
26016,Benjamín Hill,1302,1069,233,1302,83,55,28,,,,,5796,4969,827,5796,378,5418,,,,
26017,Caborca,12214,10504,1710,12214,3639,1184,544,1297,614,,,58234,51139,7095,58234,16958,,41276,,,
26018,Cajeme,64943,53503,11440,64943,7404,1258,349,1290,1584,2027,896,307015,260663,46352,307015,36050,36652,18035,216278,,
26019,Cananea,6095,5233,862,6095,467,74,10,383,,,,26113,23017,3096,26113,1952,,24161,,,
26020,Carbó,947,788,159,947,151,141,10,,,,,4401,3756,645,4401,637,3764,,,,
26021,La Colorada,576,509,67,576,576,168,11,273,124,,,2408,2177,231,2408,2408,,,,,
26022,Cucurpe,290,246,44,290,290,175,14,101,,,,1003,881,122,1003,1003,,,,,
26023,Cumpas,1527,1281,246,1527,858,56,12,102,458,230,,6820,5977,843,6820,3793,3027,,,,
26024,Divisaderos,213,184,29,213,213,6,,,207,,,894,778,116,894,894,,,,,
26025,Empalme,9797,8192,1605,9797,2028,188,77,268,711,784,,45555,39006,6549,45555,10016,,35539,,,
26026,Etchojoa,14002,11880,2122,14002,6415,333,157,2216,1042,2667,,72390,62852,9538,72390,34111,38279,,,,
26027,Fronteras,1386,1223,163,1386,523,102,,228,193,,,6178,5594,584,6178,2336,3842,,,,
26028,Granados,281,239,42,281,281,4,,,,277,,1284,1126,158,1284,1284,,,,,
26029,Guaymas,26704,22323,4381,26704,4841,795,131,1803,846,839,427,127100,108715,18385,127100,22889,18073,86138,,,
26030,Hermosillo,94306,77790,16516,94306,5647,2287,890,1197,576,697,,438345,372327,66018,438345,25968,16087,,396290,,
26031,Huachinera,327,280,47,327,327,4,,121,202,,,1493,1349,144,1493,1493,,,,,
26032,Huásabas,238,211,27,238,238,6,,,,232,,1070,986,84,1070,1070,,,,,
26033,Huatabampo,13935,11832,2103,13935,7081,184,230,3448,1269,1950,,68949,60220,8729,68949,35763,7629,25557,,,
26034,Huépac,311,266,45,311,311,6,22,68,215,,,1254,1101,153,1254,1254,,,,,
26035,Imuris,1600,1327,273,1600,733,135,60,390,148,,,7198,6228,970,7198,3261,3937,,,,
26036,Magdalena,4203,3351,852,4203,653,117,112,151,273,,,19470,16117,3353,19470,2876,,16594,,,
26037,Mazatán,370,322,48,370,370,17,,,,353,,1661,1482,179,1661,1661,,,,,
26038,Moctezuma,889,755,134,889,100,17,22,61,,,,3931,3496,435,3931,418,3513,,,,
26039,Naco,1034,853,181,1034,144,35,,109,,,,4588,3897,691,4588,610,3978,,,,
26040,Nácori Chico,546,481,65,546,546,8,13,131,144,250,,2507,2295,212,2507,2507,,,,,
26041,Nacozari de García,2699,2391,308,2699,709,46,16,168,479,,,11607,10488,1119,11607,2750,8857,,,,
26042,Navojoa,24120,20201,3919,24120,6894,342,281,2162,2767,1342,,120778,104132,16646,120778,36525,2535,81718,,,
26043,Nogales,22672,18235,4437,22672,477,163,28,146,140,,,102441,84727,17714,102441,2053,,,100388,,
26044,Onavas,120,110,10,120,120,27,,93,,,,519,494,25,519,519,,,,,
26045,Opodepe,767,634,133,767,767,122,54,61,143,387,,3253,2753,500,3253,3253,,,,,
26046,Oquitoa,117,99,18,117,117,21,,96,,,,424,372,52,424,424,,,,,
26047,Pitiquito,1630,1439,191,1630,810,94,67,123,,,526,7635,6790,845,7635,3709,3926,,,,
26048,Puerto Peñasco,5733,4952,781,5733,142,101,18,23,,,,26324,23316,3008,26324,484,,25840,,,
26049,Quiriego,727,633,94,727,727,196,83,107,141,200,,3308,2969,339,3308,3308,,,,,
26050,Rayón,461,391,70,461,461,22,52,24,,363,,1833,1632,201,1833,1833,,,,,
26051,Rosario,1282,1113,169,1282,724,134,81,389,120,,,6005,5387,618,6005,3365,2640,,,,
26052,Sahuaripa,1541,1282,259,1541,719,61,34,624,,,,6990,6077,913,6990,3173,3817,,,,
26053,San Felipe de Jesús,121,107,14,121,121,5,,116,,,,470,421,49,470,470,,,,,
26054,San Javier,97,86,11,97,97,25,,72,,,,377,348,29,377,377,,,,,
26055,San Luis Río Colorado,23122,19074,4048,23122,2292,55,73,768,,1396,,106731,90429,16302,106731,10783,3998,91950,,,
26056,San Miguel de Horcasitas,458,370,88,458,458,73,,145,240,,,2061,1715,346,2061,2061,,,,,
26057,San Pedro de la Cueva,491,416,75,491,491,21,38,126,,306,,1857,1647,210,1857,1857,,,,,
26058,Santa Ana,2845,2309,536,2845,873,125,41,177,530,,,12556,10548,2008,12556,3770,8786,,,,
26059,Santa Cruz,361,313,48,361,361,53,,,308,,,1453,1292,161,1453,1453,,,,,
26060,Sáric,466,401,65,466,466,72,13,56,325,,,2077,1857,220,2077,2077,,,,,
26061,Soyopa,452,403,49,452,452,21,13,418,,,,2000,1848,152,2000,2000,,,,,
26062,Suaqui Grande,244,216,28,244,244,21,,,,223,,1220,1122,98,1220,1220,,,,,
26063,Tepache,635,558,77,635,635,7,,23,146,,459,2894,2590,304,2894,2894,,,,,
26064,Trincheras,467,415,52,467,467,146,,73,,248,,2030,1850,180,2030,2030,,,,,
26065,Tubutama,433,359,74,433,433,55,18,360,,,,1798,1558,240,1798,1798,,,,,
26066,Ures,2243,1875,368,2243,1325,107,13,514,177,514,,10115,8739,1376,10115,5985,4130,,,,
26067,Villa Hidalgo,510,440,70,510,510,20,,85,,405,,2221,1993,228,2221,2221,,,,,
26068,Villa Pesqueira,405,342,63,405,405,67,,165,173,,,1681,1487,194,1681,1681,,,,,
26069,Yécora,1175,1028,147,1175,1175,192,34,340,258,351,,5096,4578,518,5096,5096,,,,,
26070,General Plutarco Elías Calles,2090,1768,322,2090,375,165,39,171,,,,9472,8255,1217,9472,1692,7780,,,,
26071,Benito Juárez,,,,,,,,,,,,,,,,,,,,,
26072,San Ignacio Río Muerto,,,,,,,,,,,,,,,,,,,,,
26996,No especificado,,,,,,,,,,,,,,,,,,,,,
26997,Otros estados,,,,,,,,,,,,,,,,,,,,,
26998,Otros municipios,,,,,,,,,,,,,,,,,,,,,
27,Tabasco,287512,245846,41666,287512,134312,2064,2288,38459,39025,44366,8110,1473772,1298841,174931,1473772,744709,265556,209544,253963,,
27001,Balancán,9560,8418,1142,9560,6624,641,302,2147,1938,1596,,48537,43877,4660,48537,34315,14222,,,,
27002,Cárdenas,32071,27570,4501,32071,13741,24,85,2596,3044,5799,2193,170016,150088,19928,170016,78695,31417,59904,,,
27003,Centla,12801,11124,1677,12801,7269,204,227,3022,1800,1600,416,68181,61145,7036,68181,40291,12403,15487,,,
27004,Centro,80867,66547,14320,80867,15705,44,206,3818,5340,5781,516,377118,320426,56692,377118,82367,40788,,253963,,
27005,Comalcalco,25539,22071,3468,25539,14312,,18,1380,5475,5868,1571,139693,124267,15426,139693,84236,24068,31389,,,
27006,Cunduacán,15531,13531,2000,15531,10294,18,79,1968,4115,4114,,84560,75705,8855,84560,57794,26766,,,,
27007,Emiliano Zapata,4515,3763,752,4515,1441,91,81,587,,287,395,21748,18743,3005,21748,7299,14449,,,,
27008,Huimanguillo,24276,20939,3337,24276,15918,372,399,5352,2884,5489,1422,132772,117860,14912,132772,90254,22072,20446,,,
27009,Jalapa,5371,4764,607,5371,4555,,16,2263,1376,900,,28190,25551,2639,28190,24351,3839,,,,
27010,Jalpa de Méndez,10180,8986,1194,10180,6235,,18,1147,1819,2893,358,56718,51521,5197,56718,35727,20991,,,,
27011,Jonuta,4194,3688,506,4194,3237,326,155,1690,879,187,,21827,19775,2052,21827,17309,4518,,,,
27012,Macuspana,19572,16918,2654,19572,9704,95,333,4666,3306,1304,,103272,91948,11324,103272,55421,26005,21846,,,
27013,Nacajuca,9532,8259,1273,9532,6349,25,28,773,1119,4053,351,49403,44073,5330,49403,33785,15618,,,,
27014,Paraíso,11255,9844,1411,11255,6782,,,648,2331,3321,482,57774,51917,5857,57774,37101,2593,18080,,,
27015,Tacotalpa,5988,5385,603,5988,4793,52,205,2146,1555,429,406,32567,29887,2680,32567,26760,5807,,,,
27016,Teapa,6840,5871,969,6840,2811,31,29,1342,928,481,,34495,30348,4147,34495,15168,,19327,,,
27017,Tenosique,9420,8168,1252,9420,4542,141,107,2914,1116,264,,46901,41710,5191,46901,23836,,23065,,,
27996,No especificado,,,,,,,,,,,,,,,,,,,,,
27997,Otros estados,,,,,,,,,,,,,,,,,,,,,
27998,Otros municipios,,,,,,,,,,,,,,,,,,,,,
28,Tamaulipas,492044,405902,86142,492044,89759,11192,5861,39398,15923,12134,5251,2207376,1893410,313966,2207376,421166,169510,268981,1347719,,
28001,Abasolo,3182,2869,313,3182,1154,108,,125,315,606,,15375,14188,1187,15375,5498,9877,,,,
28002,Aldama,5515,4875,640,5515,3342,517,203,2239,383,,,25715,23488,2227,25715,16038,9677,,,,
28003,Altamira,18195,15717,2478,18195,4148,395,204,1261,1175,1113,,82151,72688,9463,82151,20064,5335,56752,,,
28004,Antiguo Morelos,2150,1886,264,2150,1476,215,135,664,163,299,,10046,9069,977,10046,7035,3011,,,,
28005,Burgos,1368,1235,133,1368,1368,331,207,464,366,,,6342,5903,439,6342,6342,,,,,
28006,Bustamante,1450,1309,141,1450,1450,5,67,790,144,444,,7962,7420,542,7962,7962,,,,,
28007,Camargo,3558,2967,591,3558,1854,167,42,876,178,,591,14914,13054,1860,14914,7608,7306,,,,
28008,Casas,1008,932,76,1008,1008,221,238,549,,,,4766,4458,308,4766,4766,,,,,
28009,Ciudad Madero,37503,30130,7373,37503,,,,,,,,158689,133465,25224,158689,,,,158689,,
28010,Cruillas,512,444,68,512,512,142,62,308,,,,1961,1803,158,1961,1961,,,,,
28011,Gómez Farías,1786,1575,211,1786,1786,194,54,985,158,395,,8676,7822,854,8676,8676,,,,,
28012,González,8706,7501,1205,8706,3455,678,295,1167,601,714,,41785,37201,4584,41785,16478,25307,,,,
28013,Güémez,3044,2738,306,3044,3044,267,114,1344,555,764,,14494,13324,1170,14494,14494,,,,,
28014,Guerrero,930,806,124,930,113,113,,,,,,3536,3211,325,3536,328,3208,,,,
28015,Gustavo Díaz Ordaz,4074,3421,653,4074,1390,220,58,590,,,522,17213,15139,2074,17213,5736,11477,,,,
28016,Hidalgo,5497,4747,750,5497,3156,259,118,2011,526,242,,26120,23523,2597,26120,15264,10856,,,,
28017,Jaumave,2550,2177,373,2550,1719,93,65,1410,151,,,12370,10959,1411,12370,8527,3843,,,,
28018,Jiménez,1600,1363,237,1600,530,136,145,249,,,,7512,6654,858,7512,2406,5106,,,,
28019,Llera,4307,3703,604,4307,3366,350,186,1716,1114,,,19019,16870,2149,19019,15116,3903,,,,
28020,Mainero,717,621,96,717,717,173,127,179,238,,,3274,2974,300,3274,3274,,,,,
28021,El Mante,25458,20880,4578,25458,6995,190,210,2013,754,2017,1811,115232,98220,17012,115232,33092,5849,76291,,,
28022,Matamoros,67200,54283,12917,67200,6711,955,420,2804,1935,597,,297115,248943,48172,297115,29554,7221,,260340,,
28023,Méndez,872,789,83,872,872,208,64,420,180,,,3948,3676,272,3948,3948,,,,,
28024,Mier,1339,1079,260,1339,13,13,,,,,,5402,4629,773,5402,54,5348,,,,
28025,Miguel Alemán,4606,3801,805,4606,981,57,128,185,325,286,,19808,17040,2768,19808,4261,,15547,,,
28026,Miquihuana,735,664,71,735,735,15,67,84,267,302,,3415,3168,247,3415,3415,,,,,
28027,Nuevo Laredo,45597,36833,8764,45597,270,118,75,77,,,,208740,176106,32634,208740,1034,,,207706,,
28028,Nuevo Morelos,689,612,77,689,689,60,22,251,,356,,3003,2712,291,3003,3003,,,,,
28029,Ocampo,3045,2598,447,3045,2007,209,214,1054,272,258,,14102,12507,1595,14102,9383,4719,,,,
28030,Padilla,2937,2561,376,2937,1176,125,47,762,242,,,14007,12646,1361,14007,5649,8358,,,,
28031,Palmillas,453,386,67,453,453,64,25,126,238,,,1981,1763,218,1981,1981,,,,,
28032,Reynosa,62261,51785,10476,62261,3658,711,243,1532,250,485,437,276852,238724,38128,276852,16762,,,260090,,
28033,Río Bravo,20039,17010,3029,20039,4347,691,266,1849,1060,,481,93323,81786,11537,93323,20277,6512,66534,,,
28034,San Carlos,2209,2019,190,2209,2209,433,166,1222,102,286,,10232,9622,610,10232,10232,,,,,
28035,San Fernando,11516,10174,1342,11516,6392,606,267,2054,1725,807,933,53926,48972,4954,53926,30054,3521,20351,,,
28036,San Nicolás,218,205,13,218,218,18,44,156,,,,1102,1039,63,1102,1102,,,,,
28037,Soto la Marina,4518,4117,401,4518,3134,800,202,1610,,522,,21104,19543,1561,21104,14469,6635,,,,
28038,Tampico,62656,49193,13463,62656,,,,,,,,269054,221077,47977,269054,,,,269054,,
28039,Tula,5125,4384,741,5125,3551,150,194,1910,884,413,,27643,24589,3054,27643,19808,7835,,,,
28040,Valle Hermoso,11221,9517,1704,11221,2312,315,233,1072,216,,476,50807,44850,5957,50807,10581,6720,33506,,,
28041,Victoria,45057,36375,8682,45057,2651,344,67,1223,331,686,,204639,172151,32488,204639,12799,,,191840,,
28042,Villagrán,1672,1453,219,1672,1672,293,248,599,233,299,,7637,6962,675,7637,7637,,,,,
28043,Xicoténcatl,4969,4168,801,4969,3125,233,339,1468,842,243,,22384,19472,2912,22384,14498,7886,,,,
28996,No especificado,,,,,,,,,,,,,,,,,,,,,
28997,Otros estados,,,,,,,,,,,,,,,,,,,,,
28998,Otros municipios,,,,,,,,,,,,,,,,,,,,,
29,Tlaxcala,137280,117340,19940,137280,31538,1096,519,5017,7637,10774,6495,731712,648642,83070,731712,172896,301367,257449,,,
29001,Amaxac de Guerrero,1164,1000,164,1164,195,,,61,134,,,5947,5316,631,5947,1054,4893,,,,
29002,Apetatitlán de Antonio Carvajal,1723,1454,269,1723,650,,,,86,564,,8529,7494,1035,8529,3551,4978,,,,
29003,Atlangatepec,786,682,104,786,786,41,26,367,159,193,,4085,3679,406,4085,4085,,,,,
29004,Atltzayanca,1981,1763,218,1981,1493,60,41,514,657,221,,11515,10633,882,11515,8859,2656,,,,
29005,Apizaco,10668,8746,1922,10668,605,8,,,123,,474,50374,42979,7395,50374,3216,4598,42560,,,
29006,Calpulalpan,5393,4502,891,5393,1376,112,22,137,414,691,,27391,23704,3687,27391,7296,,20095,,,
29007,El Carmen Tequexquitla,1579,1373,206,1579,98,7,,91,,,,9381,8419,962,9381,563,8818,,,,
29008,Cuapiaxtla,1503,1285,218,1503,567,34,33,199,108,193,,8304,7430,874,8304,3315,4989,,,,
29009,Cuaxomulco,584,505,79,584,584,,,128,120,336,,3231,2891,340,3231,3231,,,,,
29010,Chiautempan,10905,9355,1550,10905,880,2,,,,468,410,58739,52054,6685,58739,5232,19398,34109,,,
29011,Muñoz de Domingo Arenas,582,507,75,582,582,1,,128,157,296,,3012,2714,298,3012,3012,,,,,
29012,Españita,1220,1052,168,1220,1220,55,25,504,304,332,,6138,5522,616,6138,6138,,,,,
29013,Huamantla,8494,7123,1371,8494,1479,118,41,367,634,319,,49265,42957,6308,49265,9269,9059,30937,,,
29014,Hueyotlipan,1869,1656,213,1869,735,38,,236,461,,,10640,9767,873,10640,4141,6499,,,,
29015,Ixtacuixtla de Mariano Matamoros,5791,5093,698,5791,2976,70,31,328,700,543,1304,29786,27051,2735,29786,15322,14464,,,,
29016,Ixtenco,1097,852,245,1097,,,,,,,,5214,4355,859,5214,,5214,,,,
29017,Mazatecochco de José María Morelos,1142,1052,90,1142,,,,,,,,5998,5635,363,5998,,5998,,,,
29018,Contla de Juan Cuamatzi,3719,3261,458,3719,868,,,202,134,532,,21560,19456,2104,21560,4975,,16585,,,
29019,Tepetitla de Lardizábal,2056,1745,311,2056,397,13,,42,,342,,10775,9474,1301,10775,2027,8748,,,,
29020,Sanctórum de Lázaro Cárdenas,1764,1504,260,1764,436,22,9,,,,405,9214,8172,1042,9214,2168,7046,,,,
29021,Nanacamilpa de Mariano Arista,2439,2085,354,2439,578,51,28,160,154,185,,12157,10819,1338,12157,2926,9231,,,,
29022,Acuamanala de Miguel Hidalgo,1234,1099,135,1234,716,,,77,295,,344,6817,6259,558,6817,3908,2909,,,,
29023,Natívitas,3816,3239,577,3816,1299,8,48,17,299,927,,20856,18419,2437,20856,6976,13880,,,,
29024,Panotla,3474,2968,506,3474,1663,5,,23,103,652,880,17156,15227,1929,17156,8248,8908,,,,
29025,San Pablo del Monte,6431,5767,664,6431,2,2,,,,,,39013,35867,3146,39013,10,3829,35174,,,
29026,Santa Cruz Tlaxcala,1866,1599,267,1866,615,1,24,130,130,,330,10077,8945,1132,10077,3638,6439,,,,
29027,Tenancingo,1577,1392,185,1577,,,,,,,,9340,8456,884,9340,,9340,,,,
29028,Teolocholco,2334,2076,258,2334,366,4,,47,,315,,13388,12257,1131,13388,1973,11415,,,,
29029,Tepeyanco,2791,2397,394,2791,1109,,19,59,326,705,,16045,14254,1791,16045,6376,9669,,,,
29030,Terrenate,2167,1955,212,2167,1677,111,29,101,192,892,352,13370,12365,1005,13370,10417,2953,,,,
29031,Tetla de la Solidaridad,2928,2503,425,2928,748,54,,169,138,,387,14989,13222,1767,14989,4132,10857,,,,
29032,Tetlatlahuca,2850,2480,370,2850,305,,16,,289,,,15139,13626,1513,15139,1555,13584,,,,
29033,Tlaxcala,10269,8373,1896,10269,1,1,,,,,,48794,41567,7227,48794,6,,48788,,,
29034,Tlaxco,4855,4157,698,4855,2924,231,114,583,622,972,402,26169,23288,2881,26169,15827,10342,,,,
29035,Tocatlán,601,544,57,601,3,3,,,,,,3560,3287,273,3560,18,3542,,,,
29036,Totolac,2981,2460,521,2981,,,,,,,,14671,12523,2148,14671,,14671,,,,
29037,Ziltlaltépec de Trinidad Sánchez Santos,1219,1022,197,1219,189,,,,189,,,7256,6406,850,7256,1182,6074,,,,
29038,Tzompantepec,1777,1541,236,1777,592,6,,146,,440,,10098,9043,1055,10098,3092,7006,,,,
29039,Xaloztoc,2217,1996,221,2217,79,,,,79,,,12853,11811,1042,12853,485,12368,,,,
29040,Xaltocan,1687,1450,237,1687,867,35,13,81,361,,377,8559,7606,953,8559,4566,3993,,,,
29041,Papalotla de Xicohténcatl,3134,2754,380,3134,390,,,,,,390,16636,15000,1636,16636,2314,14322,,,,
29042,Xicohtzinco,1612,1318,294,1612,,,,,,,,8183,6944,1239,8183,,8183,,,,
29043,Yauhquemehcan,2375,2025,350,2375,1463,,,98,269,656,440,12243,10773,1470,12243,7668,4575,,,,
29044,Zacatelco,6626,5630,996,6626,25,3,,22,,,,35245,30976,4269,35245,125,5919,29201,,,
29045,Benito Juárez,,,,,,,,,,,,,,,,,,,,,
29046,Emiliano Zapata,,,,,,,,,,,,,,,,,,,,,
29047,Lázaro Cárdenas,,,,,,,,,,,,,,,,,,,,,
29048,La Magdalena Tlaltelulco,,,,,,,,,,,,,,,,,,,,,
29049,San Damián Texóloc,,,,,,,,,,,,,,,,,,,,,
29050,San Francisco Tetlanohcan,,,,,,,,,,,,,,,,,,,,,
29051,San Jerónimo Zacualpan,,,,,,,,,,,,,,,,,,,,,
29052,San José Teacalco,,,,,,,,,,,,,,,,,,,,,
29053,San Juan Huactzinco,,,,,,,,,,,,,,,,,,,,,
29054,San Lorenzo Axocomanitla,,,,,,,,,,,,,,,,,,,,,
29055,San Lucas Tecopilco,,,,,,,,,,,,,,,,,,,,,
29056,Santa Ana Nopalucan,,,,,,,,,,,,,,,,,,,,,
29057,Santa Apolonia Teacalco,,,,,,,,,,,,,,,,,,,,,
29058,Santa Catarina Ayometla,,,,,,,,,,,,,,,,,,,,,
29059,Santa Cruz Quilehtla,,,,,,,,,,,,,,,,,,,,,
29060,Santa Isabel Xiloxoxtla,,,,,,,,,,,,,,,,,,,,,
29996,No especificado,,,,,,,,,,,,,,,,,,,,,
29997,Otros estados,,,,,,,,,,,,,,,,,,,,,
29998,Otros municipios,,,,,,,,,,,,,,,,,,,,,
30,Veracruz de Ignacio de la Llave,1273031,1042671,230360,1273031,515173,25718,20424,200800,135448,102162,30621,6134650,5226124,908526,6134650,2694896,1044168,963486,1432100,,
30001,Acajete,1059,880,179,1059,1059,25,75,461,277,221,,5834,5003,831,5834,5834,,,,,
30002,Acatlán,479,380,99,479,479,6,14,,,,459,2414,2073,341,2414,2414,,,,,
30003,Acayucan,13817,11173,2644,13817,3623,280,68,1081,1092,1102,,68834,57521,11313,68834,19253,7216,42365,,,
30004,Actopan,8747,7408,1339,8747,7892,321,217,1713,1341,3325,975,39994,35029,4965,39994,36215,3779,,,,
30005,Acula,1031,875,156,1031,1031,70,44,416,,,501,4913,4244,669,4913,4913,,,,,
30006,Acultzingo,2561,2205,356,2561,1823,21,62,730,693,317,,13822,12227,1595,13822,9745,4077,,,,
30007,Camarón de Tejeda,983,833,150,983,983,75,44,244,219,401,,5083,4490,593,5083,5083,,,,,
30008,Alpatláhuac,1381,1196,185,1381,1381,,78,793,96,414,,8044,7236,808,8044,8044,,,,,
30009,Alto Lucero de Gutiérrez Barrios,5794,5041,753,5794,4111,311,182,1384,957,860,417,26298,23509,2789,26298,19489,6809,,,,
30010,Altotonga,8555,6878,1677,8555,5531,66,36,1590,2330,1193,316,46327,39160,7167,46327,31593,14734,,,,
30011,Alvarado,10832,8635,2197,10832,4731,413,302,1417,1315,1284,,47617,39107,8510,47617,20761,3629,23227,,,
30012,Amatitlán,1668,1387,281,1668,1668,50,94,296,105,1123,,7222,6236,986,7222,7222,,,,,
30013,Naranjos Amatlán,5786,4702,1084,5786,1474,106,131,312,472,,453,26709,22744,3965,26709,7543,,19166,,,
30014,Amatlán de los Reyes,6569,5347,1222,6569,3228,62,70,780,1013,884,419,33255,27904,5351,33255,16929,16326,,,,
30015,Angel R. Cabada,7250,5955,1295,7250,4662,394,276,1300,1340,1352,,33461,28496,4965,33461,22492,10969,,,,
30016,La Antigua,4922,3941,981,4922,1520,32,13,415,576,,484,21199,17510,3689,21199,6698,14501,,,,
30017,Apazapan,880,760,120,880,880,17,23,147,693,,,3598,3226,372,3598,3598,,,,,
30018,Aquila,245,203,42,245,245,,,120,125,,,1428,1224,204,1428,1428,,,,,
30019,Astacinga,735,632,103,735,735,52,55,522,106,,,4038,3592,446,4038,4038,,,,,
30020,Atlahuilco,1032,924,108,1032,1032,20,65,454,493,,,5738,5243,495,5738,5738,,,,,
30021,Atoyac,4514,3717,797,4514,1126,117,162,473,374,,,21980,18771,3209,21980,5709,16271,,,,
30022,Atzacan,2645,2259,386,2645,838,,,367,253,218,,13599,11969,1630,13599,4249,9350,,,,
30023,Atzalan,8431,7236,1195,8431,7928,74,136,4780,1947,991,,45358,40180,5178,45358,42805,2553,,,,
30024,Tlaltetela,1894,1693,201,1894,1225,44,41,802,148,190,,10341,9541,800,10341,6797,3544,,,,
30025,Ayahualulco,2808,2511,297,2808,2111,15,13,468,231,1048,336,17969,16467,1502,17969,13593,4376,,,,
30026,Banderilla,4700,3718,982,4700,146,22,26,,98,,,21782,17868,3914,21782,747,21035,,,,
30027,Benito Juárez,2718,2398,320,2718,2718,81,146,1499,394,598,,14579,13294,1285,14579,14579,,,,,
30028,Boca del Río,32873,25983,6890,32873,112,,,112,,,,142286,116112,26174,142286,499,8029,,133758,,
30029,Calcahualco,1542,1326,216,1542,1542,25,19,880,618,,,8948,7967,981,8948,8948,,,,,
30030,Camerino Z. Mendoza,7394,5880,1514,7394,566,,,,,566,,34605,28837,5768,34605,3030,,31575,,,
30031,Carrillo Puerto,1982,1766,216,1982,1982,58,238,1035,434,217,,11734,10718,1016,11734,11734,,,,,
30032,Catemaco,7706,6509,1197,7706,3653,276,159,978,1094,711,435,40040,34795,5245,40040,19248,,20792,,,
30033,Cazones de Herrera,4577,3955,622,4577,3722,57,125,966,1590,984,,24532,21948,2584,24532,20315,4217,,,,
30034,Cerro Azul,6196,4873,1323,6196,748,46,10,320,131,241,,27776,22935,4841,27776,3552,,24224,,,
30035,Citlaltépetl,2102,1793,309,2102,1143,50,,651,227,215,,10653,9525,1128,10653,5946,4707,,,,
30036,Coacoatzintla,956,780,176,956,382,10,11,361,,,,5235,4431,804,5235,2291,2944,,,,
30037,Coahuitlán,1011,887,124,1011,1011,12,,,,611,388,5468,4955,513,5468,5468,,,,,
30038,Coatepec,12944,10124,2820,12944,2618,152,90,880,734,762,,60342,49123,11219,60342,12894,11421,36027,,,
30039,Coatzacoalcos,52573,43477,9096,52573,900,48,12,426,414,,,228900,194601,34299,228900,4474,10840,18719,194867,,
30040,Coatzintla,6844,5586,1258,6844,2465,32,35,660,904,834,,33594,28372,5222,33594,13306,,20288,,,
30041,Coetzala,317,270,47,317,317,10,,30,277,,,1602,1431,171,1602,1602,,,,,
30042,Colipa,1187,1008,179,1187,586,98,72,416,,,,5623,5032,591,5623,3102,2521,,,,
30043,Comapa,2565,2309,256,2565,1902,85,122,595,678,422,,14835,13705,1130,14835,11197,3638,,,,
30044,Córdoba,31968,24363,7605,31968,3712,70,118,1072,1593,859,,148247,118049,30198,148247,19557,,,128690,,
30045,Cosamaloapan de Carpio,17109,13652,3457,17109,4805,334,199,1712,1336,304,920,75489,62627,12862,75489,22660,7580,45249,,,
30046,Cosautlán de Carvajal,2587,2185,402,2587,1727,10,14,624,340,342,397,13523,11926,1597,13523,9416,4107,,,,
30047,Coscomatepec,6009,5105,904,6009,2889,15,33,1036,771,1034,,32926,28953,3973,32926,16180,16746,,,,
30048,Cosoleacaque,9011,7729,1282,9011,2131,176,172,925,435,,423,45012,39683,5329,45012,10689,14273,20050,,,
30049,Cotaxtla,3233,2803,430,3233,3233,396,433,1578,554,272,,16524,14685,1839,16524,16524,,,,,
30050,Coxquihui,2481,2140,341,2481,1707,,14,342,1121,230,,13617,12225,1392,13617,9645,3972,,,,
30051,Coyutla,3353,2893,460,3353,2110,16,12,203,954,925,,18619,16656,1963,18619,11529,7090,,,,
30052,Cuichapa,1999,1649,350,1999,1336,16,25,578,252,,465,10261,8768,1493,10261,6823,3438,,,,
30053,Cuitláhuac,4225,3487,738,4225,2195,82,100,770,273,551,419,21445,18269,3176,21445,11241,10204,,,,
30054,Chacaltianguis,2569,2151,418,2569,1567,181,107,411,680,188,,11842,10346,1496,11842,7638,4204,,,,
30055,Chalma,2417,2070,347,2417,1807,110,72,736,240,209,440,13180,11785,1395,13180,10303,2877,,,,
30056,Chiconamel,1077,923,154,1077,1077,94,83,408,155,337,,5967,5297,670,5967,5967,,,,,
30057,Chiconquiaco,1943,1720,223,1943,1943,57,91,740,214,422,419,11435,10328,1107,11435,11435,,,,,
30058,Chicontepec,10621,9457,1164,10621,9366,262,537,5570,2330,667,,59417,54412,5005,59417,53215,6202,,,,
30059,Chinameca,2765,2323,442,2765,1264,128,44,448,,644,,12943,11270,1673,12943,6226,6717,,,,
30060,Chinampa de Gorostiza,2681,2331,350,2681,1768,93,116,589,214,317,439,14034,12583,1451,14034,9147,4887,,,,
