Población total (con información hasta localidad),,,,,,,,,,,,,,,,,,,,,,,,
Sexo : Hombres,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Consulta de: Población total con estimación   Por: Entidad municipio y loc   Según: Edad quinquenal,,,,,,,,,,,,,,,,,,,,,,,,
,,Total,De 0 a 4 años,De 5 a 9 años,De 10 a 14 años,De 15 a 19 años,De 20 a 24 años,De 25 a 29 años,De 30 a 34 años,De 35 a 39 años,De 40 a 44 años,De 45 a 49 años,De 50 a 54 años,De 55 a 59 años,De 60 a 64 años,De 65 a 69 años,De 70 a 74 años,De 75 a 79 años,De 80 a 84 años,De 85 a 89 años,De 90 a 94 años,De 95 a 99 años,De 100 y más años,No especificado
 24 031 ,Santa Catarina,"10,066","1,497","1,499","1,409","1,147",816,647,582,504,406,305,327,232,231,160,118,68,55,28,18,4,2,11
 24 032 ,Santa María del Río,"35,725","5,316","5,465","5,241","3,986","2,728","2,059","1,713","1,541","1,321","1,207","1,064",905,890,660,497,405,359,179,65,31,8,85
 24 033 ,Santo Domingo,"12,172","1,571","1,789","2,002","1,446",922,703,553,524,517,427,427,311,294,226,149,140,83,56,13,5,2,12
 24 034 ,San Vicente Tancuayalab,"12,099","1,731","1,751","1,694","1,422",964,847,694,637,480,460,372,294,259,165,112,65,69,38,17,9,6,13
 24 035 ,Soledad de Graciano Sánchez,"132,979","17,441","18,600","17,384","16,849","13,116","10,816","9,614","7,666","5,459","4,226","3,094","2,226","1,813","1,290",719,618,415,282,85,35,17,"1,214"
 24 036 ,Tamasopo,"25,789","3,403","3,875","3,832","2,825","1,950","1,683","1,496","1,356","1,058",933,807,688,619,465,268,196,145,92,37,17,6,38
 24 037 ,Tamazunchale,"100,211","15,586","15,379","13,712","10,311","7,681","6,686","5,864","5,494","4,050","3,989","3,127","2,378","1,969","1,489",969,618,375,211,119,58,42,104
 24 038 ,Tampacán,"15,410","2,291","2,437","2,181","1,654","1,175",946,765,766,658,598,535,433,316,234,138,99,79,38,18,12,8,29
 24 039 ,Tampamolón Corona,"11,769","1,932","1,874","1,560","1,075",835,798,666,636,467,473,385,308,280,207,110,63,52,19,10,7,4,8
 24 040 ,Tamuín,"34,148","4,892","5,019","4,847","3,845","2,851","2,569","2,160","1,883","1,410","1,140",966,738,643,417,239,171,125,78,29,13,11,102
 24 041 ,Tanlajás,"15,167","2,556","2,356","2,091","1,574","1,147",984,774,728,646,514,474,397,351,262,119,75,44,23,12,7,2,31
 24 042 ,Tanquián de Escobedo,"12,066","1,616","1,645","1,753","1,422","1,029",805,648,649,511,491,440,300,239,167,110,96,72,25,20,10,6,12
 24 043 ,Tierranueva,"8,976","1,258","1,338","1,411",981,570,400,425,387,322,347,319,243,252,212,143,127,116,64,19,10,3,29
 24 044 ,Vanegas,"7,975","1,109","1,265","1,237",853,693,491,429,331,304,296,242,167,190,113,107,66,34,28,10,,2,8
 24 045 ,Venado,"14,073","1,811","2,063","2,017","1,616","1,138",907,777,591,503,505,460,392,370,303,186,165,149,68,20,8,4,20
 24 046 ,Villa de Arriaga,"13,515","1,996","2,134","2,065","1,643","1,093",803,644,586,450,455,391,306,259,199,144,139,101,70,21,9,2,5
 24 047 ,Villa de Guadalupe,"12,072","1,604","1,821","2,036","1,364",868,617,507,487,452,457,449,357,301,217,155,136,107,69,28,15,8,17
 24 048 ,Villa de la Paz,"5,441",672,802,798,650,477,398,303,257,193,199,150,131,123,86,75,43,35,24,8,3,2,12
 24 049 ,Villa de Ramos,"28,676","4,406","4,494","4,569","3,408","2,300","1,657","1,454","1,283",945,914,785,671,568,405,261,201,165,79,40,11,5,55
 24 050 ,Villa de Reyes,"34,425","5,431","5,448","5,314","3,897","2,833","2,177","1,789","1,458","1,122","1,076",876,693,682,475,366,299,233,131,48,16,6,55
 24 051 ,Villa Hidalgo,"15,157","1,918","2,084","2,297","1,858","1,187",774,661,619,556,581,581,521,427,287,188,209,203,120,32,13,5,36
 24 052 ,Villa Juárez,"12,734","1,639","1,850","1,951","1,409",874,654,605,492,457,462,486,453,448,321,163,162,136,113,33,13,3,10
 24 053 ,Axtla de Terrazas,"29,331","4,591","4,488","4,135","3,030","2,192","1,925","1,614","1,504","1,191","1,128",922,706,541,448,314,232,148,84,44,35,20,39
 24 054 ,Xilitla,"44,864","7,144","6,767","6,334","4,523","3,157","2,930","2,379","2,409","1,731","1,789","1,499","1,265",905,754,516,289,190,128,51,28,20,56
 24 055 ,Zaragoza,"19,143","2,965","3,082","2,910","2,257","1,584","1,115",871,796,635,589,570,450,379,308,232,150,122,73,20,12,4,19
 24 056 ,Villa de Arista,"11,943","1,892","1,863","1,730","1,351","1,124",767,614,520,412,367,375,259,205,130,98,93,57,43,8,3,6,26
#NAME?,Sinaloa,"2,204,054","268,247","281,174","297,270","280,493","208,619","164,727","143,223","122,698","96,614","81,853","65,843","50,913","41,621","31,281","23,040","15,816","9,823","5,042","2,127",868,470,"12,292"
 25 001 ,Ahome,"303,558","35,613","36,560","39,690","38,786","30,291","24,627","21,368","17,780","14,272","11,727","9,075","7,038","5,391","4,079","2,724","1,969","1,170",646,252,94,53,353
 25 002 ,Angostura,"47,324","5,291","5,931","6,878","6,494","4,121","3,301","2,956","2,606","2,135","1,906","1,554","1,183",882,688,473,372,207,111,55,27,13,140
 25 003 ,Badiraguato,"37,988","5,793","5,961","6,023","4,540","2,925","2,148","1,753","1,568","1,340","1,322","1,132",871,815,518,480,300,242,111,49,22,11,64
 25 004 ,Concordia,"26,314","3,233","3,348","3,523","3,014","2,357","1,694","1,507","1,395","1,111","1,029",951,777,679,534,403,332,207,102,35,18,5,60
 25 005 ,Cosalá,"16,975","2,683","2,612","2,541","1,985","1,330","1,044",848,769,576,548,485,429,331,251,195,133,89,38,30,6,10,42
 25 006 ,Culiacán,"601,123","73,072","76,166","78,849","78,997","60,943","46,903","39,839","33,572","25,402","20,545","16,295","12,255","10,323","7,641","5,707","3,569","2,322","1,108",476,172,105,"6,862"
 25 007 ,Choix,"26,167","3,506","3,927","3,806","2,602","1,904","1,660","1,437","1,259","1,085","1,104",950,733,625,488,412,291,186,83,39,19,7,44
 25 008 ,Elota,"30,319","4,040","4,418","4,707","3,801","2,284","1,886","1,680","1,470","1,206","1,116",917,759,616,464,346,220,166,83,30,15,10,85
 25 009 ,Escuinapa,"45,928","6,080","6,141","6,210","5,573","3,910","3,039","2,706","2,480","2,023","1,788","1,498","1,209",983,756,553,430,262,124,69,23,16,55
 25 010 ,Fuerte,"86,074","10,184","11,312","12,131","10,214","7,336","5,931","5,395","4,655","3,957","3,434","2,932","2,366","1,917","1,439","1,093",783,440,255,120,52,31,97
 25 011 ,Guasave,"258,130","31,630","32,989","36,707","34,430","23,689","18,552","16,492","14,109","11,263","9,797","7,627","5,803","4,597","3,553","2,606","1,841","1,071",553,227,112,64,418
 25 012 ,Mazatlán,"314,345","36,980","37,016","37,128","37,564","32,269","26,726","23,408","19,648","14,719","12,219","9,545","7,626","6,226","4,596","3,269","2,271","1,339",702,265,112,48,669
 25 013 ,Mocorito,"51,674","5,773","6,775","7,448","5,874","3,882","3,068","2,709","2,390","2,138","2,007","1,922","1,497","1,325","1,015",752,561,392,220,96,32,20,"1,778"
 25 014 ,Rosario,"47,416","5,727","6,303","6,562","5,549","3,772","3,067","2,700","2,469","2,113","1,954","1,610","1,343","1,141",980,784,528,338,160,75,25,19,197
 25 015 ,Salvador Alvarado,"66,659","7,927","8,664","9,368","8,738","5,848","4,878","4,485","3,724","3,034","2,449","1,972","1,452","1,138",862,632,435,239,123,46,26,8,611
 25 016 ,San Ignacio,"24,085","3,047","3,457","3,502","2,729","1,791","1,457","1,231","1,213","1,004",994,894,675,585,451,408,298,172,99,31,15,8,24
 25 017 ,Sinaloa,"88,002","11,807","12,993","13,550","10,447","6,846","5,224","4,857","4,312","3,669","3,229","2,817","2,194","1,887","1,382","1,034",686,488,233,105,49,16,177
 25 018 ,Navolato,"131,973","15,861","16,601","18,647","19,156","13,121","9,522","7,852","7,279","5,567","4,685","3,667","2,703","2,160","1,584","1,169",797,493,291,127,49,26,616
#NAME?,Sonora,"1,823,606","213,464","216,768","222,345","217,889","181,031","150,981","133,308","108,248","82,200","69,626","58,365","45,439","36,806","27,864","19,091","12,855","7,421","3,769","1,335",473,249,"14,079"
 26 001 ,Aconchi,"2,356",213,289,337,257,204,155,137,158,106,110,100,73,71,47,40,31,13,4,4,1,,6
 26 002 ,Agua Prieta,"39,120","4,986","4,600","4,662","4,779","4,059","3,277","2,896","2,241","1,609","1,343","1,133",871,754,505,342,231,124,55,20,7,4,622
 26 003 ,Alamos,"25,564","2,865","3,548","3,706","2,717","1,896","1,685","1,569","1,274","1,176","1,122",984,780,645,551,411,279,171,91,33,13,6,42
 26 004 ,Altar,"6,458",830,842,843,773,572,485,363,330,293,259,228,169,124,86,71,53,23,12,4,,,98
 26 005 ,Arivechi,"1,774",178,226,211,176,149,127,109,82,80,64,91,60,61,46,39,37,24,9,4,1,,
 26 006 ,Arizpe,"3,855",426,470,469,393,284,275,238,209,190,170,175,149,124,79,88,48,44,17,4,,,3
 26 007 ,Atil,797,84,97,93,83,66,55,50,36,31,47,47,21,20,25,15,5,10,2,3,1,,6
 26 008 ,Bacadéhuachi,"1,499",169,192,208,134,98,108,90,90,62,63,66,44,45,47,37,27,10,5,,1,,3
 26 009 ,Bacanora,"1,347",144,173,168,123,91,99,75,69,50,74,50,52,47,47,31,35,10,7,1,1,,
 26 010 ,Bacerac,"1,775",238,236,269,178,118,116,102,82,77,79,76,54,52,35,20,17,13,8,2,,,3
 26 011 ,Bacoachi,"1,593",176,186,184,164,139,120,117,82,85,73,79,61,37,36,27,11,5,4,2,2,,3
 26 012 ,Bácum,"20,026","2,139","2,418","2,845","2,536","1,873","1,494","1,256","1,114",941,809,654,553,444,355,229,157,87,55,25,13,10,19
 26 013 ,Banámichi,"1,701",177,194,256,205,119,95,85,84,79,94,90,46,46,36,29,46,12,4,3,,,1
 26 014 ,Baviácora,"3,979",356,443,582,468,299,239,213,229,202,198,191,134,116,111,81,56,41,12,3,4,,1
 26 015 ,Bavispe,"1,755",225,254,256,177,117,111,107,95,73,55,73,56,60,47,24,14,3,5,2,,,1
 26 016 ,Benjamín Hill,"5,939",659,795,732,604,508,428,393,339,231,224,231,180,145,140,90,72,24,13,8,2,,121
 26 017 ,Caborca,"59,160","7,556","7,510","7,744","7,285","5,816","4,739","4,272","3,433","2,545","2,140","1,756","1,291","1,010",723,500,309,209,86,19,7,6,204
 26 018 ,Cajeme,"311,443","35,846","36,518","38,073","37,772","30,924","26,659","23,696","19,059","14,447","11,875","9,779","7,784","5,913","4,542","3,026","2,070","1,223",656,246,75,34,"1,226"
 26 019 ,Cananea,"26,931","3,074","3,179","2,968","2,765","2,362","2,170","2,065","1,680","1,422","1,170",989,708,695,547,391,241,102,62,21,3,2,315
 26 020 ,Carbó,"4,581",607,587,556,439,422,352,309,233,193,182,140,125,101,67,49,21,24,9,3,1,,161
 26 021 ,La Colorada,"2,511",274,254,256,254,246,221,169,153,115,103,94,86,81,54,33,28,20,10,5,1,,54
 26 022 ,Cucurpe,"1,036",114,108,111,106,94,57,74,52,45,56,54,28,37,35,19,12,4,3,,,,27
 26 023 ,Cumpas,"6,932",743,875,871,685,573,480,487,398,318,313,299,210,208,183,129,76,56,21,3,2,,2
 26 024 ,Divisaderos,901,95,103,106,103,63,52,51,49,41,52,38,36,38,35,15,13,5,3,2,1,,
 26 025 ,Empalme,"46,017","5,357","5,624","5,930","5,435","4,223","3,716","3,397","2,653","1,971","1,654","1,549","1,349","1,088",818,546,353,191,101,23,12,10,17
 26 026 ,Etchojoa,"73,689","8,462","9,260","9,807","9,213","6,487","5,239","4,781","4,336","3,544","3,102","2,539","1,976","1,555","1,180",897,601,359,186,79,29,20,37
 26 027 ,Fronteras,"6,336",881,875,749,701,610,558,418,336,244,237,189,136,102,97,64,41,25,10,,,1,62
 26 028 ,Granados,"1,290",115,139,167,133,102,95,100,66,60,53,50,50,47,47,22,24,14,5,1,,,
 26 029 ,Guaymas,"129,092","14,735","15,327","16,270","15,609","12,622","10,699","9,580","7,674","5,931","4,963","4,208","3,378","2,879","2,001","1,327",901,499,235,94,35,16,109
 26 030 ,Hermosillo,"448,966","53,094","51,605","51,447","53,512","48,273","40,010","34,941","27,214","20,091","16,795","13,471","10,102","8,179","6,070","4,187","2,746","1,554",724,271,86,33,"4,561"
 26 031 ,Huachinera,"1,503",173,188,200,171,128,108,91,79,72,56,53,45,59,34,20,8,7,10,,1,,
 26 032 ,Huásabas,"1,084",109,109,133,125,83,81,62,55,48,61,48,46,39,31,20,13,12,6,3,,,
 26 033 ,Huatabampo,"70,027","7,518","8,523","9,168","8,433","6,321","5,403","4,902","4,221","3,256","2,833","2,514","1,971","1,576","1,181",861,594,344,163,62,40,18,125
 26 034 ,Huépac,"1,262",125,133,157,117,83,93,81,99,49,66,62,53,44,43,20,16,11,7,1,1,,1
 26 035 ,Imuris,"7,365",875,869,914,909,700,505,449,410,305,297,283,205,200,144,103,69,40,22,6,2,2,56
 26 036 ,Magdalena,"20,071","2,245","2,247","2,391","2,430","1,816","1,492","1,285","1,171",896,806,738,530,474,358,292,178,116,56,18,16,1,515
 26 037 ,Mazatán,"1,662",209,202,213,151,123,136,133,96,66,71,65,57,43,36,20,17,15,2,1,,,6
 26 038 ,Moctezuma,"3,947",426,479,462,460,328,293,275,239,188,149,150,137,121,85,58,57,23,12,2,,,3
 26 039 ,Naco,"4,645",649,552,538,570,485,382,288,246,184,200,146,118,99,75,47,35,14,4,3,,,10
 26 040 ,Nácori Chico,"2,513",294,367,366,211,194,190,160,154,120,86,79,77,66,56,31,28,18,10,1,1,,4
 26 041 ,Nacozari de García,"13,171","1,676","1,551","1,459","1,483","1,683","1,440","1,082",748,523,385,304,219,203,133,74,41,19,11,4,1,2,130
 26 042 ,Navojoa,"122,061","13,691","15,314","15,852","14,834","11,213","9,265","8,561","7,241","5,758","4,886","4,045","3,272","2,540","1,951","1,383","1,006",566,331,125,35,29,163
 26 043 ,Nogales,"107,936","13,308","11,829","11,759","13,294","13,078","9,945","8,195","6,700","4,453","3,272","2,666","2,087","1,667","1,363",842,539,323,171,48,20,11,"2,366"
 26 044 ,Onavas,522,72,72,69,33,30,35,37,38,27,12,24,19,17,10,11,7,6,2,,,,1
 26 045 ,Opodepe,"3,288",406,374,429,318,245,233,188,201,157,139,132,130,84,94,60,46,26,15,9,1,,1
 26 046 ,Oquitoa,424,26,34,35,40,30,34,29,19,20,24,34,17,34,18,12,11,5,2,,,,
 26 047 ,Pitiquito,"7,743",994,920,887,827,764,669,598,466,313,292,270,191,160,124,64,58,28,17,2,2,6,91
 26 048 ,Puerto Peñasco,"26,625","3,588","3,583","3,453","3,188","2,389","2,173","2,027","1,674","1,173",937,711,538,404,280,187,125,55,33,14,2,,91
 26 049 ,Quiriego,"3,346",353,395,468,347,256,205,202,179,145,167,154,139,97,66,65,41,30,15,9,2,6,5
 26 050 ,Rayón,"1,838",173,188,214,150,137,121,109,110,107,93,105,77,88,60,42,36,14,9,2,1,1,1
 26 051 ,Rosario,"6,127",625,784,829,717,513,375,355,361,285,249,242,183,169,148,119,76,48,28,9,3,1,8
 26 052 ,Sahuaripa,"7,071",807,915,907,735,557,516,403,391,303,332,282,215,224,170,138,83,42,35,7,3,,6
 26 053 ,San Felipe de Jesús,470,34,45,53,56,37,36,31,24,31,25,23,20,15,9,12,5,8,4,2,,,
 26 054 ,San Javier,377,30,48,44,43,28,22,28,22,20,20,11,13,15,14,7,6,3,2,,,,1
 26 055 ,San Luis Río Colorado,"110,530","13,441","12,711","12,799","13,856","11,454","9,091","7,687","6,109","4,702","4,071","3,504","2,706","2,181","1,549",938,613,373,224,63,20,15,"2,423"
 26 056 ,San Miguel de Horcasitas,"2,285",255,315,306,245,186,144,171,122,108,98,77,53,53,48,29,27,12,8,,3,,25
 26 057 ,San Pedro de la Cueva,"1,880",165,219,225,174,127,117,126,103,104,105,108,66,71,65,49,36,11,5,2,,,2
 26 058 ,Santa Ana,"12,745","1,449","1,577","1,546","1,409","1,140",948,898,726,570,516,479,395,272,237,198,106,86,45,13,5,3,127
 26 059 ,Santa Cruz,"1,476",163,165,163,165,161,117,92,74,65,70,67,42,42,32,20,19,10,3,1,1,,4
 26 060 ,Sáric,"2,112",275,256,250,238,205,152,106,124,108,75,87,48,50,35,35,23,16,8,3,,,18
 26 061 ,Soyopa,"2,036",225,265,268,203,157,137,114,87,105,98,101,81,56,49,26,23,27,8,3,1,1,1
 26 062 ,Suaqui Grande,"1,230",154,190,174,123,80,80,89,73,52,61,45,31,17,23,17,9,8,3,,,1,
 26 063 ,Tepache,"2,928",337,348,377,344,282,263,212,177,105,111,99,87,57,59,30,20,10,5,3,,,2
 26 064 ,Trincheras,"2,109",251,237,259,218,164,152,139,114,88,95,87,56,55,51,30,24,13,6,2,2,1,65
 26 065 ,Tubutama,"1,842",224,223,219,169,139,109,123,91,87,74,80,56,61,50,40,28,12,7,4,3,,43
 26 066 ,Ures,"10,140","1,027","1,189","1,400","1,121",772,683,685,600,508,471,418,347,286,249,149,114,67,29,8,2,4,11
 26 067 ,Villa Hidalgo,"2,233",219,286,334,249,146,112,141,141,101,97,84,73,70,83,36,31,17,9,2,,,2
 26 068 ,Villa Pesqueira,"1,686",184,191,214,166,110,137,111,103,96,65,63,50,52,45,35,34,21,2,2,,,5
 26 069 ,Yécora,"5,145",609,696,663,545,407,366,305,259,218,255,193,163,142,86,106,46,37,13,7,5,4,20
 26 070 ,General Plutarco Elías Calles,"9,728","1,262","1,252","1,272","1,243",871,705,598,551,432,427,309,264,179,128,86,52,29,13,9,2,1,43
#NAME?,Tabasco,"1,501,744","208,115","216,441","206,256","176,664","144,409","121,375","96,541","84,135","57,204","48,189","37,849","29,098","23,288","15,455","11,589","7,825","5,634","3,210","1,601",847,612,"5,407"
 27 001 ,Balancán,"49,309","7,309","7,931","7,225","5,272","4,298","3,637","2,883","2,676","1,849","1,592","1,193",920,744,517,421,262,180,92,60,34,35,179
 27 002 ,Cárdenas,"172,635","26,245","26,700","25,302","20,520","15,970","13,167","10,484","9,167","6,174","5,135","3,967","2,892","2,297","1,436",982,703,492,279,131,63,73,456
 27 003 ,Centla,"70,053","10,185","10,363","9,695","7,951","6,291","5,171","4,238","3,725","2,637","2,378","1,907","1,526","1,297",888,687,401,287,170,85,53,25,93
 27 004 ,Centro,"386,776","46,212","47,921","46,446","45,526","41,261","36,460","29,885","24,720","16,452","12,763","10,516","8,014","6,171","4,219","2,869","2,056","1,473",909,394,205,126,"2,178"
 27 005 ,Comalcalco,"141,285","20,709","20,831","20,413","16,819","13,298","10,749","8,428","7,527","5,255","4,523","3,405","2,754","2,076","1,405","1,048",728,539,285,122,70,44,257
 27 006 ,Cunduacán,"85,704","12,006","12,727","12,946","10,566","8,370","6,604","5,017","4,461","2,897","2,630","2,002","1,589","1,239",763,599,453,335,189,129,55,41,86
 27 007 ,Emiliano Zapata,"22,245","2,659","2,877","2,891","2,604","2,111","1,901","1,560","1,372",975,774,681,473,391,289,216,159,104,38,27,12,12,119
 27 008 ,Huimanguillo,"135,641","21,941","21,856","20,214","15,736","12,048","9,658","7,517","6,435","4,560","3,919","3,102","2,348","1,948","1,231",920,536,420,236,126,70,53,767
 27 009 ,Jalapa,"28,413","3,454","3,950","4,057","3,510","2,725","2,164","1,712","1,499","1,107","1,000",852,656,510,353,284,224,145,93,42,33,9,34
 27 010 ,Jalpa de Méndez,"57,250","8,299","8,920","8,360","6,873","5,367","4,174","3,235","2,889","1,997","1,790","1,325","1,102",876,531,497,333,270,147,81,37,26,121
 27 011 ,Jonuta,"22,000","3,286","3,241","3,102","2,447","1,959","1,628","1,262","1,229",911,761,540,430,368,273,190,138,84,54,34,23,9,31
 27 012 ,Macuspana,"105,063","14,848","15,853","14,539","12,088","9,733","8,086","6,406","5,918","3,948","3,486","2,649","2,011","1,718","1,109",949,561,402,229,145,64,69,252
 27 013 ,Nacajuca,"50,791","6,752","7,558","7,095","6,030","4,891","4,218","3,093","2,891","1,754","1,670","1,145",863,739,487,368,232,209,89,61,39,21,586
 27 014 ,Paraíso,"58,403","7,829","8,416","7,795","6,903","5,568","4,752","3,847","3,315","2,332","1,940","1,507","1,206",950,657,500,331,239,140,55,30,17,74
 27 015 ,Tacotalpa,"33,015","5,086","5,062","4,608","3,916","2,934","2,424","1,795","1,597","1,156","1,116",888,663,577,375,315,200,134,73,33,18,17,28
 27 016 ,Teapa,"35,519","4,429","5,007","4,868","4,367","3,418","2,874","2,214","2,066","1,383","1,176","1,000",729,633,420,330,243,141,78,32,17,17,77
 27 017 ,Tenosique,"47,642","6,866","7,228","6,700","5,536","4,167","3,708","2,965","2,648","1,817","1,536","1,170",922,754,502,414,265,180,109,44,24,18,69
#NAME?,Tamaulipas,"2,249,581","256,810","260,284","268,815","273,793","231,171","188,111","157,309","127,147","100,806","87,714","74,561","59,066","48,780","35,940","21,998","17,318","11,754","6,873","2,163",806,346,"18,016"
 28 001 ,Abasolo,"15,427","1,961","2,127","2,326","1,842","1,277","1,091",966,820,682,619,466,393,285,237,109,97,62,33,10,6,2,16
 28 002 ,Aldama,"25,837","3,383","3,569","3,598","3,004","2,200","1,910","1,652","1,339","1,110",958,815,698,554,388,213,189,109,71,23,12,9,33
 28 003 ,Altamira,"82,585","10,820","11,217","10,649","9,526","8,013","7,570","6,234","4,883","3,419","2,751","2,145","1,657","1,326",862,492,377,269,156,56,23,14,126
 28 004 ,Antiguo Morelos,"10,098","1,199","1,398","1,519","1,131",832,660,586,466,399,406,380,305,244,174,108,119,80,55,19,4,3,11
 28 005 ,Burgos,"6,372",775,840,831,710,520,418,398,349,300,286,244,159,149,126,96,80,55,24,6,1,,5
 28 006 ,Bustamante,"8,011","1,150","1,259","1,212",785,600,438,363,375,325,321,286,235,193,145,98,78,74,42,19,7,1,5
 28 007 ,Camargo,"15,043","1,669","1,617","1,839","1,762","1,422","1,073",958,774,695,624,599,521,468,335,248,180,124,67,11,4,2,51
 28 008 ,Casas,"4,830",642,742,708,522,386,283,279,206,212,180,167,132,115,85,46,51,27,22,6,2,1,16
 28 009 ,Ciudad Madero,"160,331","16,032","16,348","16,893","19,072","17,070","14,758","12,798","10,516","8,340","6,708","5,598","4,739","3,937","2,724","1,461","1,263",874,548,162,47,12,431
 28 010 ,Cruillas,"1,982",227,193,248,213,181,136,107,95,86,119,95,66,57,60,37,27,18,9,6,2,,
 28 011 ,Gómez Farías,"8,698",910,"1,124","1,370","1,071",728,505,470,407,395,368,333,278,230,193,113,84,61,35,18,2,,3
 28 012 ,González,"42,465","5,448","5,865","6,136","5,083","3,658","2,866","2,486","2,180","1,733","1,671","1,395","1,082",887,697,399,317,177,136,44,17,11,177
 28 013 ,Güémez,"15,014","1,826","1,872","2,145","1,989","1,326",899,754,732,624,622,557,410,363,285,198,141,143,77,23,10,5,13
 28 014 ,Guerrero,"4,510",401,406,401,366,350,274,230,170,149,193,144,103,111,75,60,49,43,16,3,1,,965
 28 015 ,Gustavo Díaz Ordaz,"17,705","1,844","1,899","2,129","2,021","1,628","1,311","1,165",958,827,745,678,565,443,372,265,207,135,60,15,9,5,424
 28 016 ,Hidalgo,"26,320","2,983","3,482","3,711","3,049","2,118","1,572","1,430","1,305","1,181","1,056","1,149",857,745,584,357,263,230,131,44,17,13,43
 28 017 ,Jaumave,"12,463","1,452","1,828","1,918","1,364",832,650,645,592,537,515,498,456,382,242,142,137,134,83,32,15,5,4
 28 018 ,Jiménez,"7,546",901,952,"1,052",914,698,495,417,370,332,307,275,226,168,131,103,78,63,37,10,8,2,7
 28 019 ,Llera,"19,083","2,171","2,327","2,819","2,013","1,388","1,080",991,978,877,907,823,720,611,459,308,241,198,103,35,20,6,8
 28 020 ,Mainero,"3,362",332,429,442,411,285,189,173,121,151,151,150,151,110,79,63,56,34,23,5,1,3,3
 28 021 ,El Mante,"116,174","12,543","14,289","15,562","13,991","10,454","9,029","7,901","6,801","5,299","4,769","3,941","3,166","2,797","2,093","1,154",983,682,368,119,43,22,168
 28 022 ,Matamoros,"303,293","37,034","33,708","33,721","37,913","35,824","27,705","22,119","16,701","12,353","10,767","9,094","7,163","5,923","4,432","2,795","2,110","1,313",722,234,75,39,"1,548"
 28 023 ,Méndez,"3,948",541,530,516,411,337,309,272,223,182,166,120,85,72,67,48,34,18,12,1,3,1,
 28 024 ,Mier,"6,244",554,646,647,595,486,409,358,281,235,233,210,201,149,147,101,62,52,30,14,5,,829
 28 025 ,Miguel Alemán,"21,322","2,360","2,272","2,359","2,319","1,954","1,681","1,385","1,075",897,835,728,590,464,371,252,215,113,48,12,2,,"1,390"
 28 026 ,Miquihuana,"3,437",416,460,544,367,242,199,168,148,139,136,124,133,118,61,49,41,39,28,12,3,1,9
 28 027 ,Nuevo Laredo,"219,468","24,131","23,590","24,416","27,621","22,848","18,100","15,066","12,196","9,856","8,232","7,004","5,362","4,488","3,389","2,144","1,592",984,582,166,75,26,"7,600"
 28 028 ,Nuevo Morelos,"3,024",367,410,409,344,264,215,169,150,100,135,122,104,87,50,28,29,18,13,6,,,4
 28 029 ,Ocampo,"14,150","1,622","1,947","2,212","1,447",994,772,713,681,694,630,643,526,414,298,164,124,128,83,26,16,5,11
 28 030 ,Padilla,"14,280","1,702","1,900","2,006","1,634","1,132",956,782,757,630,603,564,484,327,276,171,141,110,58,25,6,4,12
 28 031 ,Palmillas,"1,981",210,253,294,224,138,89,100,93,94,104,74,69,58,60,26,30,36,15,10,3,,1
 28 032 ,Reynosa,"282,667","33,361","31,936","32,155","34,928","31,209","25,730","20,495","15,585","12,407","10,804","9,188","6,899","5,511","3,948","2,447","1,824","1,164",605,182,76,43,"2,170"
 28 033 ,Río Bravo,"94,009","11,367","11,077","11,948","11,850","9,484","7,591","6,281","4,819","4,056","3,768","3,170","2,493","1,994","1,461",903,729,438,252,84,31,16,197
 28 034 ,San Carlos,"10,408","1,111","1,348","1,391","1,142",905,641,587,531,540,496,405,314,258,256,181,136,81,49,10,9,1,16
 28 035 ,San Fernando,"54,482","7,163","7,613","7,403","6,027","4,787","4,208","3,645","2,691","2,276","2,076","1,811","1,266","1,070",781,495,369,248,168,57,20,2,306
 28 036 ,San Nicolás,"1,109",148,148,169,116,114,79,54,55,45,48,34,32,22,17,9,7,9,,,,,3
 28 037 ,Soto la Marina,"21,433","2,918","3,150","2,911","2,478","2,009","1,637","1,411","1,103",864,768,617,472,396,252,145,117,75,56,17,7,7,23
 28 038 ,Tampico,"272,690","26,664","27,194","28,586","34,087","30,821","25,243","20,672","17,736","13,700","11,245","9,378","7,493","6,375","4,666","2,935","2,338","1,503",979,288,92,27,668
 28 039 ,Tula,"28,011","3,752","4,196","4,287","3,137","2,071","1,679","1,453","1,300","1,099","1,076",922,819,704,532,275,255,207,135,44,22,9,37
 28 040 ,Valle Hermoso,"51,306","6,063","6,210","6,338","6,246","4,813","3,938","3,424","2,784","2,415","2,056","1,820","1,404","1,140",861,577,427,348,164,65,25,8,180
 28 041 ,Victoria,"207,923","23,447","23,983","24,803","26,567","22,321","17,608","15,375","12,207","9,307","7,913","6,524","5,164","4,166","2,982","1,751","1,389","1,046",623,198,74,35,440
 28 042 ,Villagrán,"7,758",830,"1,028","1,069",854,615,463,388,388,315,341,337,305,242,194,137,96,74,40,15,5,2,20
 28 043 ,Xicoténcatl,"22,782","2,380","2,902","3,123","2,647","1,837","1,652","1,389","1,206",929,"1,006",934,769,627,493,295,236,158,115,31,6,4,43
