Área Geográfica,,XI Censo general de población y vivienda 1990,,,,,,,,,,,,,,,
,,Población Total,,,,,,,,,,,,,,,
,,Población total con estimación (Personas),,,,,,,,,,,,,,,
,,Tamaño localidad 15 tam,,,,,,,,,,,,,Sexo,,
Clave,Nombre,Total,"Menos de 2,500 habitantes",1 a 49  habitantes,50 a 99  habitantes,100 a 499 habitantes,500 a 999 habitantes,"1,000 a 1,999 habitantes","2,000 a 2,499 habitantes","2,500 a 14,999 habitantes","15,000 a 99,999 habitantes","100,000 a 999,999 habitantes","1,000,000 y más habitantes",No aplica para viviendas colectivas,Total,Hombres,Mujeres
24018,Huehuetlán,12308,12308,85,220,5624,4514,1865,,,,,,,12308,6141,6167
24019,Lagunillas,7953,7953,484,853,4188,1412,1016,,,,,,,7953,3954,3999
24020,Matehuala,70597,15884,863,1291,9840,3890,,,,54713,,,,70597,34323,36274
24021,Mexquitic de Carmona,43053,43053,160,650,15894,12470,13879,,,,,,,43053,21364,21689
24022,Moctezuma,19037,16088,701,1182,11611,2594,,,2949,,,,,19037,9453,9584
24023,Rayón,18435,12963,307,559,5120,4800,2177,,5472,,,,,18435,9488,8947
24024,Rioverde,86434,44361,1704,1963,11697,13861,10379,4757,,42073,,,,86434,42689,43745
24025,Salinas,21735,11401,505,853,5145,3346,1552,,10334,,,,,21735,10524,11211
24026,San Antonio,7972,7972,450,212,2763,2388,2159,,,,,,,7972,4098,3874
24027,San Ciro de Acosta,11332,4932,559,696,3083,594,,,6400,,,,,11332,5461,5871
24028,San Luis Potosí,525733,29806,1374,2115,8781,7460,8013,2063,6689,,489238,,,525733,251811,273922
24029,San Martín Chalchicuautla,21846,18873,1456,1228,13112,3077,,,2973,,,,,21846,11087,10759
24030,San Nicolás Tolentino,8096,8096,448,230,3642,1840,1936,,,,,,,8096,3997,4099
24031,Santa Catarina,10066,10066,588,707,6137,2634,,,,,,,,10066,5078,4988
24032,Santa María del Río,35725,26127,2216,2666,10111,4525,6609,,9598,,,,,35725,17370,18355
24033,Santo Domingo,12172,12172,273,98,5459,3204,3138,,,,,,,12172,6107,6065
24034,San Vicente Tancuayalab,12099,7256,609,531,3882,1062,1172,,4843,,,,,12099,6210,5889
24035,Soledad de Graciano Sánchez,132979,9036,284,,1199,3009,4544,,,,123943,,,132979,64873,68106
24036,Tamasopo,25789,14683,1134,1214,8576,1959,1800,,11106,,,,,25789,13283,12506
24037,Tamazunchale,100211,72065,780,1554,28334,29385,12012,,8923,19223,,,,100211,50597,49614
24038,Tampacán,15410,15410,528,389,5462,5620,3411,,,,,,,15410,7913,7497
24039,Tampamolón Corona,11769,11769,1547,987,5573,1721,1941,,,,,,,11769,6017,5752
24040,Tamuín,34148,14753,1745,324,5268,3057,4359,,19395,,,,,34148,17115,17033
24041,Tanlajás,15167,15167,648,638,6516,7365,,,,,,,,15167,7741,7426
24042,Tanquián de Escobedo,12066,3763,500,189,1759,1315,,,8303,,,,,12066,6018,6048
24043,Tierra Nueva,8976,4477,1255,736,2486,,,,4499,,,,,8976,4220,4756
24044,Vanegas,7975,5287,232,357,3930,768,,,2688,,,,,7975,4108,3867
24045,Venado,14073,10171,1000,1206,6606,1359,,,3902,,,,,14073,7040,7033
24046,Villa de Arriaga,13515,9719,955,1010,2447,2927,2380,,3796,,,,,13515,6774,6741
24047,Villa de Guadalupe,12072,12072,533,696,6759,2993,1091,,,,,,,12072,6110,5962
24048,Villa de la Paz,5441,1570,135,,1435,,,,3871,,,,,5441,2687,2754
24049,Villa de Ramos,28676,13412,694,303,5258,1451,1468,4238,15264,,,,,28676,14008,14668
24050,Villa de Reyes,34425,27724,782,412,6498,5465,9830,4737,6701,,,,,34425,17165,17260
24051,Villa Hidalgo,15157,15157,359,134,5818,4528,2298,2020,,,,,,15157,7588,7569
24052,Villa Juárez,12734,8610,73,265,1644,2033,4595,,4124,,,,,12734,6172,6562
24053,Axtla de Terrazas,29331,23486,557,579,5802,8940,5181,2427,5845,,,,,29331,14858,14473
24054,Xilitla,44864,40100,1032,2043,26702,6938,3385,,4764,,,,,44864,22919,21945
24055,Zaragoza,19143,12831,1091,1536,5162,3842,1200,,6312,,,,,19143,9537,9606
24056,Villa de Arista,11943,7155,723,503,2688,2054,1187,,4788,,,,,11943,6079,5864
24057,Matlapa,,,,,,,,,,,,,,,,
24058,El Naranjo,,,,,,,,,,,,,,,,
24996,No especificado,,,,,,,,,,,,,,,,
24997,Otros estados,,,,,,,,,,,,,,,,
24998,Otros municipios,,,,,,,,,,,,,,,,
25,Sinaloa,2204054,791607,44548,38261,267613,190579,201233,49373,359472,212565,840410,,,2204054,1101621,1102433
25001,Ahome,303558,77787,1604,1563,13334,14166,31600,15520,63112,,162659,,,303558,150365,153193
25002,Angostura,47324,27466,722,963,8895,7830,6747,2309,19858,,,,,47324,23723,23601
25003,Badiraguato,37988,35084,5664,5042,20013,3268,1097,,2904,,,,,37988,19484,18504
25004,Concordia,26314,19654,1773,1049,5306,5395,3833,2298,6660,,,,,26314,13377,12937
25005,Cosalá,16975,11690,1544,1701,7347,1098,,,5285,,,,,16975,8728,8247
25006,Culiacán,601123,133332,5446,5639,50871,32401,30124,8851,31846,20899,415046,,,601123,297002,304121
25007,Choix,26167,20834,4126,3008,10961,1737,1002,,5333,,,,,26167,13383,12784
25008,Elota,30319,21782,815,626,7928,6073,6340,,8537,,,,,30319,15519,14800
25009,Escuinapa,45928,11278,846,367,881,4554,4630,,9564,25086,,,,45928,23211,22717
25010,El Fuerte,86074,52327,2830,3348,18810,13884,13455,,33747,,,,,86074,43823,42251
25011,Guasave,258130,98908,2706,2225,25303,31112,31072,6490,63215,96007,,,,258130,129481,128649
25012,Mazatlán,314345,34620,3326,597,9763,5730,13086,2118,17020,,262705,,,314345,155576,158769
25013,Mocorito,51674,38989,2317,2474,16284,4534,10924,2456,12685,,,,,51674,26347,25327
25014,Rosario,47416,27811,1393,979,9862,6375,6937,2265,19605,,,,,47416,24199,23217
25015,Salvador Alvarado,66659,11605,530,345,6248,4482,,,5419,49635,,,,66659,32586,34073
25016,San Ignacio,24085,15568,2230,1275,7201,3393,1469,,8517,,,,,24085,12493,11592
25017,Sinaloa,88002,71090,5055,4914,26070,12635,15350,7066,16912,,,,,88002,44765,43237
25018,Navolato,131973,81782,1621,2146,22536,31912,23567,,29253,20938,,,,131973,67559,64414
25996,No especificado,,,,,,,,,,,,,,,,
25997,Otros estados,,,,,,,,,,,,,,,,
25998,Otros municipios,,,,,,,,,,,,,,,,
26,Sonora,1823606,380539,48569,20766,127125,81221,87078,15780,217032,493765,732270,,,1823606,915088,908518
26001,Aconchi,2356,2356,71,,175,531,1579,,,,,,,2356,1231,1125
26002,Agua Prieta,39120,1456,165,194,1097,,,,,37664,,,,39120,19442,19678
26003,Alamos,25564,19432,2942,2113,11095,1901,1381,,6132,,,,,25564,13216,12348
26004,Altar,6458,1544,629,128,787,,,,4914,,,,,6458,3346,3112
26005,Arivechi,1774,1774,5,89,754,926,,,,,,,,1774,923,851
26006,Arizpe,3855,3855,720,,905,550,1680,,,,,,,3855,2001,1854
26007,Atil,797,797,43,,,754,,,,,,,,797,406,391
26008,Bacadéhuachi,1499,1499,17,,,,1482,,,,,,,1499,762,737
26009,Bacanora,1347,1347,76,73,444,754,,,,,,,,1347,738,609
26010,Bacerac,1775,1775,56,109,170,,1440,,,,,,,1775,899,876
26011,Bacoachi,1593,1593,309,110,218,956,,,,,,,,1593,816,777
26012,Bácum,20026,7771,1136,259,1976,2113,,2287,12255,,,,,20026,10265,9761
26013,Banámichi,1701,1701,81,,393,,1227,,,,,,,1701,852,849
26014,Baviácora,3979,3979,82,65,1795,,,2037,,,,,,3979,2065,1914
26015,Bavispe,1755,1755,142,58,146,1409,,,,,,,,1755,914,841
26016,Benjamín Hill,5939,378,226,152,,,,,5561,,,,,5939,2986,2953
26017,Caborca,59160,17112,4867,2587,6592,3066,,,,42048,,,,59160,30231,28929
26018,Cajeme,311443,36370,5609,1850,6284,7826,10268,4533,36883,18210,219980,,,311443,153821,157622
26019,Cananea,26931,1964,246,52,1666,,,,,24967,,,,26931,13561,13370
26020,Carbó,4581,640,584,56,,,,,3941,,,,,4581,2381,2200
26021,La Colorada,2511,2511,662,56,1230,563,,,,,,,,2511,1409,1102
26022,Cucurpe,1036,1036,560,53,423,,,,,,,,,1036,581,455
26023,Cumpas,6932,3830,211,56,456,1962,1145,,3102,,,,,6932,3607,3325
26024,Divisaderos,901,901,17,,,884,,,,,,,,901,454,447
26025,Empalme,46017,10063,833,398,1392,3552,3888,,,35954,,,,46017,23071,22946
26026,Etchojoa,73689,35048,1666,868,12972,5648,13894,,38641,,,,,73689,37387,36302
26027,Fronteras,6336,2435,420,,1053,962,,,3901,,,,,6336,3299,3037
26028,Granados,1290,1290,31,,,,1259,,,,,,,1290,682,608
26029,Guaymas,129092,23294,3712,705,9296,3944,3386,2251,18314,87484,,,,129092,64619,64473
26030,Hermosillo,448966,26288,10116,3969,5938,2973,3292,,16261,,406417,,,448966,223762,225204
26031,Huachinera,1503,1503,15,,560,928,,,,,,,,1503,749,754
26032,Huásabas,1084,1084,24,,,,1060,,,,,,,1084,562,522
26033,Huatabampo,70027,36264,814,1209,17352,6535,10354,,7726,26037,,,,70027,35236,34791
26034,Huépac,1262,1262,20,92,245,905,,,,,,,,1262,630,632
26035,Imuris,7365,3279,538,264,1801,676,,,4086,,,,,7365,3719,3646
26036,Magdalena,20071,2890,400,489,675,1326,,,,17181,,,,20071,9984,10087
26037,Mazatán,1662,1662,62,,,,1600,,,,,,,1662,845,817
26038,Moctezuma,3947,418,69,92,257,,,,3529,,,,,3947,2036,1911
26039,Naco,4645,610,114,,496,,,,4035,,,,,4645,2347,2298
26040,Nácori Chico,2513,2513,47,53,649,615,1149,,,,,,,2513,1312,1201
26041,Nacozari de García,13171,3811,157,51,1696,1907,,,9360,,,,,13171,7374,5797
26042,Navojoa,122061,36895,1774,1400,11890,14983,6848,,2548,82618,,,,122061,60483,61578
26043,Nogales,107936,2063,626,134,676,627,,,,,105873,,,107936,54410,53526
26044,Onavas,522,522,83,,439,,,,,,,,,522,279,243
26045,Opodepe,3288,3288,432,212,316,515,1813,,,,,,,3288,1777,1511
26046,Oquitoa,424,424,54,,370,,,,,,,,,424,223,201
26047,Pitiquito,7743,3721,338,307,617,,,2459,4022,,,,,7743,4032,3711
26048,Puerto Peñasco,26625,484,290,88,106,,,,,26141,,,,26625,13487,13138
26049,Quiriego,3346,3346,838,376,512,606,1014,,,,,,,3346,1788,1558
26050,Rayón,1838,1838,74,191,105,,1468,,,,,,,1838,997,841
26051,Rosario,6127,3392,620,379,1842,551,,,2735,,,,,6127,3206,2921
26052,Sahuaripa,7071,3173,251,207,2715,,,,3898,,,,,7071,3630,3441
26053,San Felipe de Jesús,470,470,7,,463,,,,,,,,,470,245,225
26054,San Javier,377,377,73,,304,,,,,,,,,377,204,173
26055,San Luis Río Colorado,110530,10942,251,321,3749,,6621,,4127,95461,,,,110530,55048,55482
26056,San Miguel de Horcasitas,2285,2285,314,,686,1285,,,,,,,,2285,1191,1094
26057,San Pedro de la Cueva,1880,1880,59,114,519,,1188,,,,,,,1880,970,910
26058,Santa Ana,12745,3774,526,177,804,2267,,,8971,,,,,12745,6390,6355
26059,Santa Cruz,1476,1476,184,,,1292,,,,,,,,1476,772,704
26060,Sáric,2112,2112,244,53,256,1559,,,,,,,,2112,1115,997
26061,Soyopa,2036,2036,78,62,1896,,,,,,,,,2036,1082,954
26062,Suaqui Grande,1230,1230,58,,,,1172,,,,,,,1230,650,580
26063,Tepache,2928,2928,21,,111,583,,2213,,,,,,2928,1563,1365
26064,Trincheras,2109,2109,477,,391,,1241,,,,,,,2109,1150,959
26065,Tubutama,1842,1842,167,81,1594,,,,,,,,,1842,933,909
26066,Ures,10140,5994,428,69,2352,870,2275,,4146,,,,,10140,5246,4894
26067,Villa Hidalgo,2233,2233,73,,398,,1762,,,,,,,2233,1150,1083
26068,Villa Pesqueira,1686,1686,246,,717,723,,,,,,,,1686,925,761
26069,Yécora,5145,5145,766,177,1416,1194,1592,,,,,,,5145,2696,2449
26070,General Plutarco Elías Calles,9728,1784,723,168,893,,,,7944,,,,,9728,4925,4803
26071,Benito Juárez,,,,,,,,,,,,,,,,
26072,San Ignacio Río Muerto,,,,,,,,,,,,,,,,
26996,No especificado,,,,,,,,,,,,,,,,
26997,Otros estados,,,,,,,,,,,,,,,,
26998,Otros municipios,,,,,,,,,,,,,,,,
27,Tabasco,1501744,756026,10233,12058,216508,220842,250063,46322,269965,214522,261231,,,1501744,749982,751762
27001,Balancán,49309,34721,3118,1571,11576,10630,7826,,14588,,,,,49309,24998,24311
27002,Cárdenas,172635,79710,127,454,14816,17894,33510,12909,31908,61017,,,,172635,86470,86165
27003,Centla,70053,41225,1099,1153,17258,10273,9066,2376,12559,16269,,,,70053,35498,34555
27004,Centro,386776,83749,244,1088,20689,28773,30555,2400,41796,,261231,,,386776,189981,196795
27005,Comalcalco,141285,85126,,71,8412,32461,35214,8968,24281,31878,,,,141285,70609,70676
27006,Cunduacán,85704,58596,93,439,11112,23315,23637,,27108,,,,,85704,43146,42558
27007,Emiliano Zapata,22245,7412,435,340,2957,,1463,2217,14833,,,,,22245,10857,11388
27008,Huimanguillo,135641,91601,1969,2055,30763,16472,31583,8759,22504,21536,,,,135641,68608,67033
27009,Jalapa,28413,24558,,82,12337,7305,4834,,3855,,,,,28413,14287,14126
27010,Jalpa de Méndez,57250,36098,,94,6678,10551,16676,2099,21152,,,,,57250,28680,28570
27011,Jonuta,22000,17424,1505,789,9303,4706,1121,,4576,,,,,22000,11244,10756
27012,Macuspana,105063,56548,454,1906,27447,19048,7693,,26271,22244,,,,105063,52193,52870
27013,Nacajuca,50791,34770,125,183,4281,6005,22039,2137,16021,,,,,50791,25648,25143
27014,Paraíso,58403,37467,,,3545,12962,18503,2457,2623,18313,,,,58403,29234,29169
27015,Tacotalpa,33015,27125,287,1093,12147,9199,2399,2000,5890,,,,,33015,16747,16268
27016,Teapa,35519,15816,124,204,7546,5297,2645,,,19703,,,,35519,17847,17672
27017,Tenosique,47642,24080,653,536,15641,5951,1299,,,23562,,,,47642,23935,23707
27996,No especificado,,,,,,,,,,,,,,,,
27997,Otros estados,,,,,,,,,,,,,,,,
27998,Otros municipios,,,,,,,,,,,,,,,,
28,Tamaulipas,2249581,425877,48029,27667,190690,76655,58378,24458,172982,272574,1378148,,,2249581,1111698,1137883
28001,Abasolo,15427,5540,426,,668,1492,2954,,9887,,,,,15427,7970,7457
28002,Aldama,25837,16112,2264,859,11012,1977,,,9725,,,,,25837,13333,12504
28003,Altamira,82585,20196,1891,936,6135,5863,5371,,5377,57012,,,,82585,41877,40708
28004,Antiguo Morelos,10098,7081,1037,592,3252,720,1480,,3017,,,,,10098,5210,4888
28005,Burgos,6372,6372,1519,982,2082,1789,,,,,,,,6372,3268,3104
28006,Bustamante,8011,8011,11,376,4495,750,2379,,,,,,,8011,4156,3855
28007,Camargo,15043,7673,663,211,3642,783,,2374,7370,,,,,15043,7523,7520
28008,Casas,4830,4830,939,1040,2851,,,,,,,,,4830,2576,2254
28009,Ciudad Madero,160331,,,,,,,,,,160331,,,160331,76601,83730
28010,Cruillas,1982,1982,518,270,1194,,,,,,,,,1982,1021,961
28011,Gómez Farías,8698,8698,936,266,4762,889,1845,,,,,,,8698,4519,4179
28012,González,42465,16816,2787,1415,6034,2886,3694,,25649,,,,,42465,21620,20845
28013,Güémez,15014,15014,1118,591,7053,2799,3453,,,,,,,15014,7856,7158
28014,Guerrero,4510,328,328,,,,,,4182,,,,,4510,2324,2186
28015,Gustavo Díaz Ordaz,17705,5772,811,223,2417,,,2321,11933,,,,,17705,8857,8848
28016,Hidalgo,26320,15403,1160,608,10064,2468,1103,,10917,,,,,26320,13689,12631
28017,Jaumave,12463,8588,385,300,7144,759,,,3875,,,,,12463,6381,6082
28018,Jiménez,7546,2426,560,657,1209,,,,5120,,,,,7546,3830,3716
28019,Llera,19083,15168,1426,852,7946,4944,,,3915,,,,,19083,9946,9137
28020,Mainero,3362,3362,830,597,872,1063,,,,,,,,3362,1719,1643
28021,El Mante,116174,33462,852,1064,9239,3707,9593,9007,5913,76799,,,,116174,57155,59019
28022,Matamoros,303293,30011,4156,1965,12381,8692,2817,,7227,,266055,,,303293,148249,155044
28023,Méndez,3948,3948,873,287,1991,797,,,,,,,,3948,2032,1916
28024,Mier,6244,54,54,,,,,,6190,,,,,6244,3141,3103
28025,Miguel Alemán,21322,4292,222,539,765,1368,1398,,,17030,,,,21322,10581,10741
28026,Miquihuana,3437,3437,69,303,420,1318,1327,,,,,,,3437,1812,1625
28027,Nuevo Laredo,219468,1055,385,317,353,,,,,,218413,,,219468,107218,112250
28028,Nuevo Morelos,3024,3024,250,83,1063,,1628,,,,,,,3024,1583,1441
28029,Ocampo,14150,9404,907,1061,4780,1514,1142,,4746,,,,,14150,7379,6771
28030,Padilla,14280,5839,563,316,3836,1124,,,8441,,,,,14280,7368,6912
28031,Palmillas,1981,1981,299,135,604,943,,,,,,,,1981,1035,946
28032,Reynosa,282667,17004,2920,1157,7213,1154,2305,2255,,,265663,,,282667,139778,142889
28033,Río Bravo,94009,20334,3140,1282,8774,5014,,2124,6583,67092,,,,94009,46935,47074
28034,San Carlos,10408,10408,1919,739,5904,588,1258,,,,,,,10408,5445,4963
28035,San Fernando,54482,30206,2473,1147,9740,8467,4105,4274,3539,20737,,,,54482,27971,26511
28036,San Nicolás,1109,1109,100,223,786,,,,,,,,,1109,547,562
28037,Soto la Marina,21433,14668,3314,1005,7874,,2475,,6765,,,,,21433,11283,10150
28038,Tampico,272690,,,,,,,,,,272690,,,272690,130426,142264
28039,Tula,28011,20121,774,1060,10984,4953,2350,,7890,,,,,28011,14229,13782
28040,Valle Hermoso,51306,10682,1366,1068,5086,1059,,2103,6720,33904,,,,51306,25441,25865
28041,Victoria,207923,12927,1364,283,6129,1759,3392,,,,194996,,,207923,102231,105692
28042,Villagrán,7758,7758,1347,1185,2862,1072,1292,,,,,,,7758,3980,3778
28043,Xicoténcatl,22782,14781,1073,1673,7074,3944,1017,,8001,,,,,22782,11603,11179
28996,No especificado,,,,,,,,,,,,,,,,
28997,Otros estados,,,,,,,,,,,,,,,,
28998,Otros municipios,,,,,,,,,,,,,,,,
29,Tlaxcala,761277,178926,5710,3026,28794,43915,61826,35655,314404,267947,,,,761277,375130,386147
29001,Amaxac de Guerrero,6192,1089,,,334,755,,,5103,,,,,6192,3127,3065
29002,Apetatitlán de Antonio Carvajal,8990,3703,,,,549,3154,,5287,,,,,8990,4455,4535
29003,Atlangatepec,4255,4255,170,130,2006,882,1067,,,,,,,4255,2139,2116
29004,Atltzayanca,11819,9062,321,255,3109,3856,1521,,2757,,,,,11819,6055,5764
29005,Apizaco,51744,3301,44,,,798,,2459,4780,43663,,,,51744,24874,26870
29006,Calpulalpan,29150,7599,439,113,772,2192,4083,,,21551,,,,29150,14361,14789
29007,El Carmen Tequexquitla,9749,563,47,,516,,,,9186,,,,,9749,4909,4840
29008,Cuapiaxtla,8592,3392,190,205,1150,642,1205,,5200,,,,,8592,4350,4242
29009,Cuaxomulco,3365,3365,,,814,674,1877,,,,,,,3365,1665,1700
29010,Chiautempan,61144,5366,12,,,,3100,2254,20280,35498,,,,61144,29832,31312
29011,Muñoz de Domingo Arenas,3051,3051,1,,737,940,1373,,,,,,,3051,1513,1538
29012,Españita,6293,6293,229,130,2692,1534,1708,,,,,,,6293,3191,3102
29013,Huamantla,51989,9986,747,248,2458,4246,2287,,9808,32195,,,,51989,25561,26428
29014,Hueyotlipan,11051,4350,198,,1425,2727,,,6701,,,,,11051,5611,5440
29015,Ixtacuixtla de Mariano Matamoros,30663,15657,370,145,1591,3775,2798,6978,15006,,,,,30663,15279,15384
29016,Ixtenco,5356,,,,,,,,5356,,,,,5356,2575,2781
29017,Mazatecochco de José María Morelos,6320,,,,,,,,6320,,,,,6320,3163,3157
29018,Contla de Juan Cuamatzi,22380,5040,,,1145,752,3143,,,17340,,,,22380,11210,11170
29019,Tepetitla de Lardizábal,11235,2164,61,,207,,1896,,9071,,,,,11235,5509,5726
29020,Sanctórum de Lázaro Cárdenas,9754,2189,94,59,,,,2036,7565,,,,,9754,4821,4933
29021,Nanacamilpa de Mariano Arista,12837,3069,201,184,840,833,1011,,9768,,,,,12837,6411,6426
29022,Acuamanala de Miguel Hidalgo,6989,4025,,,429,1580,,2016,2964,,,,,6989,3486,3503
29023,Natívitas,21485,7378,52,201,101,1773,5251,,14107,,,,,21485,10525,10960
29024,Panotla,17903,8505,26,,114,500,3612,4253,9398,,,,,17903,8774,9129
29025,San Pablo del Monte,40917,10,10,,,,,,4042,36865,,,,40917,20283,20634
29026,Santa Cruz Tlaxcala,10522,3856,7,123,757,762,,2207,6666,,,,,10522,5170,5352
29027,Tenancingo,9749,,,,,,,,9749,,,,,9749,4732,5017
29028,Teolocholco,13693,2023,19,,264,,1740,,11670,,,,,13693,6746,6947
29029,Tepeyanco,16942,6605,,98,317,2003,4187,,10337,,,,,16942,8342,8600
29030,Terrenate,13660,10560,718,218,654,1188,5726,2056,3100,,,,,13660,7034,6626
29031,Tetla de la Solidaridad,15429,4294,273,,956,872,,2193,11135,,,,,15429,7654,7775
29032,Tetlatlahuca,15801,1610,,93,,1517,,,14191,,,,,15801,7869,7932
29033,Tlaxcala,50492,6,6,,,,,,,50486,,,,50492,24263,26229
29034,Tlaxco,27089,16414,1240,757,3616,3353,5277,2171,10675,,,,,27089,13449,13640
29035,Tocatlán,3729,18,18,,,,,,3711,,,,,3729,1873,1856
29036,Totolac,15200,,,,,,,,15200,,,,,15200,7287,7913
29037,Ziltlaltépec de Trinidad Sánchez Santos,7847,1428,,,,1428,,,6419,,,,,7847,3825,4022
29038,Tzompantepec,10406,3133,30,,760,,2343,,7273,,,,,10406,5090,5316
29039,Xaloztoc,13500,512,,,,512,,,12988,,,,,13500,6854,6646
29040,Xaltocan,8777,4671,177,67,380,1816,,2231,4106,,,,,8777,4368,4409
29041,Papalotla de Xicohténcatl,17222,2368,,,,,,2368,14854,,,,,17222,8490,8732
29042,Xicohtzinco,8563,,,,,,,,8563,,,,,8563,4128,4435
29043,Yauhquemehcan,12783,7891,,,535,1456,3467,2433,4892,,,,,12783,6327,6456
29044,Zacatelco,36650,125,10,,115,,,,6176,30349,,,,36650,17950,18700
29045,Benito Juárez,,,,,,,,,,,,,,,,
29046,Emiliano Zapata,,,,,,,,,,,,,,,,
29047,Lázaro Cárdenas,,,,,,,,,,,,,,,,
29048,La Magdalena Tlaltelulco,,,,,,,,,,,,,,,,
29049,San Damián Texóloc,,,,,,,,,,,,,,,,
29050,San Francisco Tetlanohcan,,,,,,,,,,,,,,,,
29051,San Jerónimo Zacualpan,,,,,,,,,,,,,,,,
29052,San José Teacalco,,,,,,,,,,,,,,,,
29053,San Juan Huactzinco,,,,,,,,,,,,,,,,
29054,San Lorenzo Axocomanitla,,,,,,,,,,,,,,,,
29055,San Lucas Tecopilco,,,,,,,,,,,,,,,,
29056,Santa Ana Nopalucan,,,,,,,,,,,,,,,,
29057,Santa Apolonia Teacalco,,,,,,,,,,,,,,,,
29058,Santa Catarina Ayometla,,,,,,,,,,,,,,,,
29059,Santa Cruz Quilehtla,,,,,,,,,,,,,,,,
29060,Santa Isabel Xiloxoxtla,,,,,,,,,,,,,,,,
29996,No especificado,,,,,,,,,,,,,,,,
29997,Otros estados,,,,,,,,,,,,,,,,
29998,Otros municipios,,,,,,,,,,,,,,,,
30,Veracruz de Ignacio de la Llave,6228239,2726513,127769,108232,1078342,722179,534780,155211,1063055,982872,1455799,,,6228239,3077427,3150812
30001,Acajete,6173,6173,171,411,2774,1496,1321,,,,,,,6173,3145,3028
30002,Acatlán,2580,2580,43,78,,,,2459,,,,,,2580,1293,1287
30003,Acayucan,70059,19435,1430,375,5845,6019,5766,,7241,43383,,,,70059,34596,35463
30004,Actopan,40541,36642,1584,1053,8279,6204,15237,4285,3899,,,,,40541,20743,19798
30005,Acula,4934,4934,338,222,2009,,,2365,,,,,,4934,2501,2433
30006,Acultzingo,14030,9849,107,348,4158,3604,1632,,4181,,,,,14030,7008,7022
30007,Camarón de Tejeda,5195,5195,427,270,1291,1331,1876,,,,,,,5195,2674,2521
30008,Alpatláhuac,8155,8155,,439,4670,510,2536,,,,,,,8155,4179,3976
30009,Alto Lucero de Gutiérrez Barrios,26925,19971,1450,814,6618,4905,3761,2423,6954,,,,,26925,14058,12867
30010,Altotonga,46670,31753,334,188,8829,13104,7032,2266,14917,,,,,46670,22955,23715
30011,Alvarado,49040,20856,1765,1462,6304,5685,5640,,4773,23411,,,,49040,24712,24328
30012,Amatitlán,7287,7287,240,446,1442,532,4627,,,,,,,7287,3657,3630
30013,Naranjos Amatlán,26995,7606,608,686,1631,2408,,2273,,19389,,,,26995,12974,14021
30014,Amatlán de los Reyes,33669,17127,341,383,4101,5407,4745,2150,16542,,,,,33669,16694,16975
30015,Angel R. Cabada,33731,22649,1805,1298,6383,6489,6674,,11082,,,,,33731,16768,16963
30016,La Antigua,21555,6847,135,60,1852,2502,,2298,14708,,,,,21555,10594,10961
30017,Apazapan,3651,3651,73,94,683,2801,,,,,,,,3651,1819,1832
30018,Aquila,1464,1464,,,735,729,,,,,,,,1464,715,749
30019,Astacinga,4094,4094,245,255,2949,645,,,,,,,,4094,2036,2058
30020,Atlahuilco,5865,5865,108,344,2548,2865,,,,,,,,5865,2922,2943
30021,Atoyac,22173,5731,583,807,2405,1936,,,16442,,,,,22173,11091,11082
30022,Atzacan,13695,4270,,,1936,1273,1061,,9425,,,,,13695,6939,6756
30023,Atzalan,45848,43292,427,791,26429,10466,5179,,2556,,,,,45848,23253,22595
30024,Tlaltetela,10490,6888,199,234,4559,829,1067,,3602,,,,,10490,5357,5133
30025,Ayahualulco,18363,13928,104,59,3177,1659,6706,2223,4435,,,,,18363,9401,8962
30026,Banderilla,22110,747,105,124,,518,,,21363,,,,,22110,10841,11269
30027,Benito Juárez,14783,14783,499,795,8106,2091,3292,,,,,,,14783,7206,7577
30028,Boca del Río,144549,499,,,499,,,,8381,,135669,,,144549,69246,75303
30029,Calcahualco,9045,9045,138,98,5256,3553,,,,,,,,9045,4634,4411
30030,Camerino Z. Mendoza,35084,3072,,,,,3072,,,32012,,,,35084,16823,18261
30031,Carrillo Puerto,12035,12035,355,1442,6248,2759,1231,,,,,,,12035,6173,5862
30032,Catemaco,40585,19325,1304,696,5206,5953,3876,2290,,21260,,,,40585,20429,20156
30033,Cazones de Herrera,24667,20382,287,737,5363,8770,5225,,4285,,,,,24667,12293,12374
30034,Cerro Azul,28138,3635,197,114,1628,610,1086,,,24503,,,,28138,13495,14643
30035,Citlaltépetl,10711,5974,250,,3448,1185,1091,,4737,,,,,10711,5384,5327
30036,Coacoatzintla,5407,2315,61,70,2184,,,,3092,,,,,5407,2715,2692
30037,Coahuitlán,5563,5563,58,,,,3335,2170,,,,,,5563,2824,2739
30038,Coatepec,61793,13011,779,486,4390,3580,3776,,12090,36692,,,,61793,30179,31614
30039,Coatzacoalcos,233115,4475,256,51,2129,2039,,,10919,18904,198817,,,233115,114992,118123
30040,Coatzintla,34221,13728,136,150,3624,5231,4587,,,20493,,,,34221,16785,17436
30041,Coetzala,1635,1635,63,,147,1425,,,,,,,,1635,794,841
30042,Colipa,5695,3124,495,375,2254,,,,2571,,,,,5695,2939,2756
30043,Comapa,14939,11301,479,736,3512,4155,2419,,3638,,,,,14939,7788,7151
30044,Córdoba,150454,19759,324,593,5796,8627,4419,,,,130695,,,150454,71591,78863
