"UNIDADES DE PRODUCCIÓN RURALES CON CULTIVO PRINCIPAL ANUAL, SEGÚN CICLO DE CULTIVO, ",,,,,,CUADRO 8B,,,,,
"SUPERFICIE SEMBRADA, COSECHADA Y PRODUCCIÓN OBTENIDA, POR CULTIVO PRINCIPAL, ",,,,,,,,,,,
ENTIDAD Y MUNICIPIO,,,,,,,,,,,
,,,,,,,,,,,
"CULTIVO PRINCIPAL, ENTIDAD Y MUNICIPIO",,,CICLO,,,,,,,,
,,, OTOÑO-INVIERNO,,,,,,,,
,SUDZAL,,-,-,-,-,,,,,
,SUMA,,  4,  4.22,  4.22,  2.69,,,,,
,TAHDZIU,,-,-,-,-,,,,,
,TAHMEK,,-,-,-,-,,,,,
,TEABO,,*,  1.08,  0.08,  0.09,,,,,
,TECOH,,-,-,-,-,,,,,
,TEKAL DE VENEGAS,,  17,  24.52,  13.25,  2.36,,,,,
,TEKANTO,,  4,  2.14,  1.70,  0.41,,,,,
,TEKAX,,  102,  452.90,  398.71,  41.58,,,,,
,TEKIT,,-,-,-,-,,,,,
,TEKOM,,-,-,-,-,,,,,
,TELCHAC PUEBLO,,  3,  1.84,  0.20,  0.33,,,,,
,TEMAX,,  10,  10.32,  7.70,  2.76,,,,,
,TEMOZON,,  6,  4.28,  4.28,  1.69,,,,,
,TEPAKAN,,  3,  2.40,  1.60,  0.58,,,,,
,TETIZ,,  3,  8.08,  6.00,  1.91,,,,,
,TEYA,,-,-,-,-,,,,,
,TICUL,,  24,  27.89,  12.80,  2.84,,,,,
,TIMUCUY,,-,-,-,-,,,,,
,TINUM,,*,  1.00,  1.00,  0.00,,,,,
,TIXCACALCUPUL,,*,  12.00,  12.00,  0.10,,,,,
,TIXKOKOB,,  4,  0.38,  0.38,  0.11,,,,,
,TIXMEHUAC,,  15,  27.64,  27.48,  10.75,,,,,
,TIXPEHUAL,,  13,  1.52,  0.80,  0.58,,,,,
,TIZIMIN,,  345,  412.97,  345.21,  186.70,,,,,
,TUNKAS,,-,-,-,-,,,,,
,TZUCACAB,,  42,  107.60,  66.37,  20.46,,,,,
,UAYMA,,-,-,-,-,,,,,
,UCU,,  7,  1.54,  1.46,  1.50,,,,,
,UMAN,,  11,  7.50,  7.50,  5.93,,,,,
,VALLADOLID,,  33,  103.07,  100.07,  12.80,,,,,
,XOCCHEL,,  4,  8.82,  2.74,  1.41,,,,,
,YAXCABA,,  3,  12.00,  12.00,  0.08,,,,,
,YOBAIN,,*,  0.12,  0.12,  0.11,,,,,
ZACATECAS,,,  696, 2 766.76, 2 147.33, 1 228.35,,,,,
,APOZOL,,  11,  20.83,  15.33,  3.83,,,,,
,APULCO,,*,  1.00,  1.00,  1.00,,,,,
,ATOLINGA,,-,-,-,-,,,,,
,BENITO JUAREZ,,-,-,-,-,,,,,
,CALERA,,  8,  62.00,  52.00,  28.50,,,,,
,CAÑITAS DE FELIPE PESCADOR,,  12,  117.00,  117.00,  58.01,,,,,
,CONCEPCION DEL ORO,,*,  2.00,-,-,,,,,
,CUAUHTEMOC,,*,  0.50,  0.50,  0.49,,,,,
,CHALCHIHUITES,,-,-,-,-,,,,,
,FRESNILLO,,  30,  221.80,  172.05,  126.13,,,,,
,TRINIDAD GARCIA DE LA CADENA,,-,-,-,-,,,,,
,GENARO CODINA,,*,  3.00,  3.00,  0.45,,,,,
,GENERAL ENRIQUE ESTRADA,,*,  3.00,  2.00,  0.38,,,,,
,FRANCISCO R. MURGUIA,,  3,  11.00,  11.00,  7.00,,,,,
,GENERAL JOAQUIN AMARO,,*,  1.50,  1.50,  0.10,,,,,
,GENERAL PANFILO NATERA,,  3,  8.00,  6.50,  5.00,,,,,
,GUADALUPE,,  90,  410.50,  339.21,  189.05,,,,,
,HUANUSCO,,  12,  43.00,  24.37,  12.59,,,,,
,JALPA,,  29,  89.05,  51.55,  49.80,,,,,
,JEREZ,,  14,  63.08,  58.58,  30.13,,,,,
,JIMENEZ DEL TEUL,,  7,  8.50,  7.50,  1.59,,,,,
,JUAN ALDAMA,,  6,  34.00,  34.00,  11.00,,,,,
,JUCHIPILA,,  8,  26.25,  24.00,  0.91,,,,,
,LORETO,,  111,  430.75,  254.25,  191.73,,,,,
,LUIS MOYA,,  23,  60.50,  40.00,  16.42,,,,,
,MAZAPIL,,  13,  34.50,  29.20,  15.38,,,,,
,MELCHOR OCAMPO,,-,-,-,-,,,,,
,MEZQUITAL DEL ORO,,-,-,-,-,,,,,
,MIGUEL AUZA,,  14,  100.00,  75.00,  39.00,,,,,
,MOMAX,,*,  0.75,  0.75,  0.90,,,,,
,MONTE ESCOBEDO,,-,-,-,-,,,,,
,MORELOS,,-,-,-,-,,,,,
,MOYAHUA DE ESTRADA,,  5,  74.50,  26.25,  2.73,,,,,
,NOCHISTLAN DE MEJIA,,  9,  11.60,  9.60,  3.28,,,,,
,NORIA DE ANGELES,,*,  11.00,  4.00,  3.00,,,,,
,OJOCALIENTE,,  10,  34.50,  10.50,  16.45,,,,,
,PANUCO,,*,  4.00,  4.00,  2.00,,,,,
,PINOS,,  5,  22.00,  20.00,  9.30,,,,,
,RIO GRANDE,,  5,  21.00,  17.00,  6.87,,,,,
,SAIN ALTO,,  23,  89.00,  88.00,  26.11,,,,,
,"SALVADOR, EL",,-,-,-,-,,,,,
,SOMBRERETE,,  90,  257.25,  238.25,  149.14,,,,,
,SUSTICACAN,,-,-,-,-,,,,,
,TABASCO,,  25,  36.10,  29.10,  24.05,,,,,
,TEPECHITLAN,,*,  2.00,  0.50,  0.10,,,,,
,TEPETONGO,,  8,  9.75,  8.00,  5.24,,,,,
,TEUL DE GONZALEZ ORTEGA,,*,  3.00,  3.00,  4.00,,,,,
,TLALTENANGO DE SANCHEZ ROMAN,,*,  6.50,  2.50,  5.13,,,,,
,VALPARAISO,,  19,  20.50,  16.05,  6.11,,,,,
,VETAGRANDE,,  13,  163.30,  163.30,  85.26,,,,,
,VILLA DE COS,,  4,  35.00,  35.00,  9.50,,,,,
,VILLA GARCIA,,  10,  32.00,  14.00,  7.00,,,,,
,VILLA GONZALEZ ORTEGA,,-,-,-,-,,,,,
,VILLA HIDALGO,,  15,  47.00,  47.00,  14.80,,,,,
,VILLANUEVA,,  27,  69.50,  30.00,  12.95,,,,,
,ZACATECAS,,  18,  64.75,  61.00,  45.94,,,,,
GARBANZO,,,,,,,,,,,
ESTADOS UNIDOS MEXICANOS,,, 20 407, 108 652.18, 99 555.07, 152 458.60,,,,,
AGUASCALIENTES,,,-,-,-,-,,,,,
,ASIENTOS,,-,-,-,-,,,,,
BAJA CALIFORNIA,,,  4,  15.00,  14.00,  20.25,,,,,
,ENSENADA,,-,-,-,-,,,,,
,MEXICALI,,*,  10.00,  10.00,  20.00,,,,,
,TIJUANA,,  3,  5.00,  4.00,  0.25,,,,,
BAJA CALIFORNIA SUR,,,  201, 4 983.75, 4 751.25, 5 962.75,,,,,
,COMONDU,,  185, 4 931.75, 4 699.25, 5 910.35,,,,,
,"PAZ, LA",,  14,  51.50,  51.50,  51.40,,,,,
,"CABOS, LOS",,*,  0.50,  0.50,  1.00,,,,,
COAHUILA,,,*,  25.00,  25.00,  30.00,,,,,
,MATAMOROS,,*,  25.00,  25.00,  30.00,,,,,
CHIAPAS,,,  24,  16.52,  15.35,  7.64,,,,,
,ACALA,,*,  1.00,  1.00,  0.23,,,,,
,BERRIOZABAL,,-,-,-,-,,,,,
,CHAMULA,,*,  0.50,  0.50,  0.25,,,,,
,CHIAPILLA,,-,-,-,-,,,,,
,CHILON,,  5,  5.00,  4.50,  1.39,,,,,
,OCOSINGO,,*,  2.00,  2.00,  4.00,,,,,
,OCOZOCOAUTLA DE ESPINOSA,,*,  0.50,  0.50,  0.40,,,,,
,PALENQUE,,*,  1.00,  1.00,  0.20,,,,,
,SUCHIAPA,,-,-,-,-,,,,,
,TENEJAPA,,  4,  0.77,  0.77,  0.21,,,,,
,TUXTLA GUTIERREZ,,-,-,-,-,,,,,
,VILLAFLORES,,  3,  0.50,  0.50,  0.31,,,,,
,YAJALON,,  6,  5.25,  4.58,  0.66,,,,,
CHIHUAHUA,,,  12,  8.00,  7.75,  9.14,,,,,
,BATOPILAS,,  4,  2.50,  2.25,  1.25,,,,,
,MORELOS,,-,-,-,-,,,,,
,URIQUE,,  8,  5.50,  5.50,  7.89,,,,,
DURANGO,,,  17,  15.21,  9.71,  3.98,,,,,
,NAZAS,,*,  0.50,  0.50,  0.30,,,,,
,PUEBLO NUEVO,,  8,  11.51,  6.01,  2.42,,,,,
,SAN DIMAS,,  8,  3.20,  3.20,  1.26,,,,,
GUANAJUATO,,, 4 375, 10 605.48, 9 737.93, 16 621.20,,,,,
,ABASOLO,,  39,  94.25,  86.47,  61.77,,,,,
,ACAMBARO,,  256,  909.95,  886.45,  637.63,,,,,
,ALLENDE,,  28,  97.25,  91.10,  24.00,,,,,
,APASEO EL ALTO,,  33,  129.00,  114.50,  85.73,,,,,
,APASEO EL GRANDE,,  34,  82.50,  69.09,  56.49,,,,,
,ATARJEA,,-,-,-,-,,,,,
,CELAYA,,  39,  110.25,  93.25,  118.33,,,,,
,MANUEL DOBLADO,,  275,  715.91,  525.86, 3 026.78,,,,,
,COMONFORT,,  136,  236.36,  190.85,  79.31,,,,,
,CORTAZAR,,  56,  140.19,  132.34,  119.20,,,,,
,CUERAMARO,,  73,  192.00,  174.00,  82.65,,,,,
,DOCTOR MORA,,-,-,-,-,,,,,
,DOLORES HIDALGO,,  4,  2.75,  2.25,  0.34,,,,,
,GUANAJUATO,,  24,  27.55,  26.56,  53.01,,,,,
,HUANIMARO,,  93,  171.50,  164.50,  90.00,,,,,
,IRAPUATO,,  426,  917.33,  837.23, 1 803.25,,,,,
,JARAL DEL PROGRESO,,  22,  32.38,  30.48,  40.69,,,,,
,JERECUARO,,  147,  267.00,  255.00,  133.97,,,,,
,LEON,,  231,  603.67,  534.54,  883.52,,,,,
,MOROLEON,,  55,  289.94,  268.30,  232.96,,,,,
,PENJAMO,,  132,  355.75,  346.25,  312.53,,,,,
,PUEBLO NUEVO,,  27,  60.40,  57.40,  49.11,,,,,
,PURISIMA DEL RINCON,,  52,  210.25,  192.25,  178.92,,,,,
,ROMITA,,  272,  644.90,  570.40, 4 933.02,,,,,
,SALAMANCA,,  106,  205.75,  204.75,  220.03,,,,,
,SALVATIERRA,,  515, 1 205.78, 1 144.13, 1 315.02,,,,,
,SAN FELIPE,,-,-,-,-,,,,,
,SAN FRANCISCO DEL RINCON,,  118,  323.00,  312.71,  202.48,,,,,
,SAN JOSE ITURBIDE,,-,-,-,-,,,,,
,SAN LUIS DE LA PAZ,,-,-,-,-,,,,,
,SANTA CATARINA,,  18,  9.75,  9.75,  5.74,,,,,
,SANTA CRUZ DE JUVENTINO ROSAS,,  168,  381.00,  352.13,  304.52,,,,,
,SANTIAGO MARAVATIO,,  64,  153.05,  153.05,  125.34,,,,,
,SILAO,,  419,  903.95,  846.71,  548.19,,,,,
,TARANDACUAO,,  3,  12.00,  11.00,  2.60,,,,,
,TARIMORO,,  211,  486.30,  453.24,  276.15,,,,,
,TIERRA BLANCA,,  5,  4.50,  4.50,  0.70,,,,,
,URIANGATO,,  15,  50.00,  48.00,  28.04,,,,,
,VALLE DE SANTIAGO,,  150,  301.05,  284.12,  214.54,,,,,
,VICTORIA,,  8,  8.08,  8.08,  1.29,,,,,
,VILLAGRAN,,  9,  19.70,  17.70,  8.05,,,,,
,XICHU,,  8,  10.75,  9.75,  4.76,,,,,
,YURIRIA,,  104,  239.75,  229.25,  360.57,,,,,
, GUERRERO,,  122,  120.91,  110.91,  27.06,,,,,
,ATLIXTAC,,  43,  39.00,  38.52,  7.97,,,,,
,AZOYU,,*,  1.25,  1.25,  0.69,,,,,
,CHILAPA DE ALVAREZ,,  7,  9.15,  8.58,  1.23,,,,,
,CHILPANCINGO DE LOS BRAVO,,-,-,-,-,,,,,
,LEONARDO BRAVO,,-,-,-,-,,,,,
,MARTIR DE CUILAPAN,,  4,  9.00,  9.00,  0.44,,,,,
,SAN MIGUEL TOTOLAPAN,,*,  2.00,  2.00,  1.00,,,,,
,TIXTLA DE GUERRERO,,  29,  25.50,  23.50,  9.89,,,,,
,ZAPOTITLAN TABLAS,,*,  0.50,  0.03,  0.29,,,,,
,ZITLALA,,  33,  31.75,  25.75,  5.00,,,,,
,EDUARDO NERI,,*,  2.76,  2.28,  0.57,,,,,
HIDALGO,,,  23,  26.70,  16.59,  7.42,,,,,
,ALFAJAYUCAN,,*,  0.80,  0.50,  0.14,,,,,
,"ARENAL, EL",,*,  1.70,  1.70,  1.00,,,,,
,CHAPULHUACAN,,*,  1.50,  0.19,  0.25,,,,,
,IXMIQUILPAN,,-,-,-,-,,,,,
,JACALA DE LEDEZMA,,*,  7.00,  0.75,  0.86,,,,,
,"MISION, LA",,-,-,-,-,,,,,
,NICOLAS FLORES,,  3,  4.00,  4.00,  0.56,,,,,
,PACULA,,  14,  11.45,  9.20,  3.62,,,,,
,PACHUCA DE SOTO,,-,-,-,-,,,,,
,SAN AGUSTIN TLAXIACA,,-,-,-,-,,,,,
,TECOZAUTLA,,*,  0.25,  0.25,  1.00,,,,,
,ZIMAPAN,,-,-,-,-,,,,,
JALISCO,,, 7 238, 30 979.21, 29 422.20, 44 894.09,,,,,
,ACATIC,,-,-,-,-,,,,,
,ACATLAN DE JUAREZ,,  22,  103.75,  103.75,  115.07,,,,,
,AHUALULCO DE MERCADO,,  104,  334.50,  333.50,  288.01,,,,,
,AMACUECA,,*,  8.00,  8.00,  5.00,,,,,
,AMATITAN,,  20,  112.50,  71.50,  104.24,,,,,
,AMECA,,  676, 2 340.64, 2 241.61, 2 751.60,,,,,
,ANTONIO ESCOBEDO,,  128,  451.25,  394.50, 1 786.41,,,,,
,ARANDAS,,  3,  14.93,  14.93,  18.00,,,,,
,ARENAL,,  8,  45.00,  40.00,  50.84,,,,,
,ATENGO,,  38,  204.75,  172.29,  135.38,,,,,
,ATENGUILLO,,  25,  78.04,  62.54,  103.33,,,,,
,ATOTONILCO EL ALTO,,  259, 1 151.00, 1 110.54, 1 387.87,,,,,
,ATOYAC,,  18,  46.00,  45.00,  31.02,,,,,
,AUTLAN DE NAVARRO,,  6,  19.50,  19.50,  34.96,,,,,
,AYOTLAN,,  60,  176.00,  176.00,  214.35,,,,,
,AYUTLA,,  292, 1 658.50, 1 587.75, 1 195.69,,,,,
,"BARCA, LA",,  420, 2 044.34, 2 002.85, 2 783.64,,,,,
,CIUDAD GUZMAN,,*,  18.00,  18.00,  85.00,,,,,
,COCULA,,  267,  830.55,  821.55,  725.73,,,,,
,CONCEPCION DE BUENOS AIRES,,  33,  183.00,  183.00,  249.68,,,,,
,CUAUTLA,,  21,  98.00,  98.00,  95.53,,,,,
,CUQUIO,,*,  18.00,  18.00,  17.00,,,,,
,CHAPALA,,  82,  164.64,  163.64,  385.06,,,,,
,CHIQUILISTLAN,,  5,  10.00,  10.00,  16.92,,,,,
,DEGOLLADO,,  80,  266.15,  256.15,  337.06,,,,,
,EJUTLA,,*,  2.00,  2.00,  1.50,,,,,
,ENCARNACION DE DIAZ,,*,  0.50,  0.50,  1.50,,,,,
,ETZATLAN,,  128,  663.25,  647.50,  742.61,,,,,
,"GRULLO, EL",,*,  4.00,  4.00,  3.00,,,,,
,GUACHINANGO,,  37,  129.75,  108.75,  105.29,,,,,
,HOSTOTIPAQUILLO,,*,  2.50,  2.50,  2.00,,,,,
,IXTLAHUACAN DE LOS MEMBRILLOS,,  104,  388.00,  380.50,  444.44,,,,,
,IXTLAHUACAN DEL RIO,,  6,  22.00,  22.00,  74.00,,,,,
,JALOSTOTITLAN,,*,  18.70,  18.70,  10.00,,,,,
,JAMAY,,  212,  656.25,  452.90, 1 382.59,,,,,
,JESUS MARIA,,*,  1.00,  1.00,  1.00,,,,,
,JOCOTEPEC,,  382, 1 500.21, 1 477.79, 1 348.87,,,,,
,JUANACATLAN,,  23,  92.83,  92.33,  135.60,,,,,
,JUCHITLAN,,  46,  273.49,  217.99,  200.28,,,,,
,LAGOS DE MORENO,,  3,  2.50,  1.50,  5.00,,,,,
,"LIMON, EL",,*,  1.00,  1.00,  1.50,,,,,
,MAGDALENA,,  88,  263.50,  254.50,  570.95,,,,,
,"MANZANILLA DE LA PAZ, LA",,  4,  12.50,  12.50,  8.30,,,,,
,MASCOTA,,  85,  468.00,  444.00,  773.50,,,,,
,MAZAMITLA,,  23,  58.50,  57.00,  57.68,,,,,
,MEXTICACAN,,-,-,-,-,,,,,
,MIXTLAN,,  7,  55.50,  42.50,  50.50,,,,,
,OCOTLAN,,  442, 2 177.68, 2 126.05, 3 538.31,,,,,
,PONCITLAN,,  141,  432.80,  408.49,  673.05,,,,,
,VILLA PURIFICACION,,  4,  18.00,  18.00,  12.00,,,,,
,QUITUPAN,,  77,  246.00,  213.50, 1 543.19,,,,,
,"SALTO, EL",,  5,  72.00,  60.00,  78.40,,,,,
,SAN CRISTOBAL DE LA BARRANCA,,-,-,-,-,,,,,
,SAN DIEGO DE ALEJANDRIA,,  6,  29.00,  25.00,  41.29,,,,,
,SAN JUAN DE LOS LAGOS,,*,  5.00,  5.00,  4.81,,,,,
,SAN JULIAN,,*,  5.00,  5.00,  2.00,,,,,
,SAN MARCOS,,  78,  230.80,  215.30, 1 054.55,,,,,
,SAN MARTIN HIDALGO,,  622, 3 170.10, 3 133.85, 7 181.06,,,,,
,SAN MIGUEL EL ALTO,,-,-,-,-,,,,,
,GOMEZ FARIAS,,  19,  67.50,  67.50,  168.50,,,,,
,SAN SEBASTIAN DEL OESTE,,  4,  11.00,  11.00,  10.08,,,,,
,SAYULA,,  12,  36.50,  34.00,  50.88,,,,,
,TALA,,  42,  179.70,  179.70,  112.03,,,,,
,TALPA DE ALLENDE,,  125,  606.00,  573.00,  700.39,,,,,
,TAMAZULA DE GORDIANO,,  4,  4.75,  4.75,  2.70,,,,,
,TAPALPA,,-,-,-,-,,,,,
,TECALITLAN,,  4,  10.50,  10.50,  14.00,,,,,
,TECOLOTLAN,,  85,  298.25,  284.25,  257.60,,,,,
,TECHALUTA DE MONTENEGRO,,  4,  16.00,  16.00,  10.00,,,,,
,TENAMAXTLAN,,  295, 1 859.83, 1 801.91, 1 950.35,,,,,
,TEOCALTICHE,,*,  11.00,  1.00,  1.00,,,,,
,TEOCUITATLAN DE CORONA,,  110,  312.50,  307.50,  423.20,,,,,
,TEPATITLAN DE MORELOS,,*,  27.56,  27.56,  16.94,,,,,
,TEQUILA,,*,  1.50,  1.00,  0.70,,,,,
,TEUCHITLAN,,  74,  288.25,  283.25,  253.73,,,,,
,TIZAPAN EL ALTO,,  75,  195.75,  190.25,  386.90,,,,,
,TLAJOMULCO DE ZUÑIGA,,  222,  864.75,  745.62, 1 471.18,,,,,
,TLAQUEPAQUE,,  6,  27.00,  13.00,  24.00,,,,,
,TONALA,,*,  1.50,  1.50,  0.20,,,,,
,TOTATICHE,,  3,  1.50,  1.25,  0.51,,,,,
,TOTOTLAN,,  220, 1 432.00, 1 383.50, 2 533.93,,,,,
,TUXCUECA,,  23,  61.50,  61.50,  52.65,,,,,
,UNION DE SAN ANTONIO,,  5,  9.50,  6.00,  8.39,,,,,
,UNION DE TULA,,  361, 1 427.90, 1 291.73, 1 245.58,,,,,
,VALLE DE JUAREZ,,  3,  9.00,  9.00,  10.00,,,,,
,CIUDAD VENUSTIANO CARRANZA,,  17,  131.00,  131.00,  140.30,,,,,
,VILLA CORONA,,  49,  165.33,  154.33,  150.79,,,,,
,VILLA GUERRERO,,*,  2.00,-,-,,,,,
,CAÑADAS DE OBREGON,,-,-,-,-,,,,,
,YAHUALICA DE GONZALEZ GALLO,,*,  3.00,  3.00,  2.50,,,,,
,ZACOALCO DE TORRES,,  88,  321.75,  260.25,  163.86,,,,,
,ZAPOPAN,,  3,  10.00,  4.00,  12.00,,,,,
,ZAPOTILTIC,,-,-,-,-,,,,,
,ZAPOTLAN DEL REY,,  247, 1 120.50, 1 078.60, 1 631.10,,,,,
,ZAPOTLANEJO,,  24,  85.00,  80.50,  122.00,,,,,
MEXICO,,,*,  3.50,  2.50,  4.00,,,,,
,CHIMALHUACAN,,-,-,-,-,,,,,
,NAUCALPAN,,-,-,-,-,,,,,
,NICOLAS ROMERO,,-,-,-,-,,,,,
,TECAMAC,,*,  1.50,  0.50,  1.00,,,,,
,TEPOTZOTLAN,,-,-,-,-,,,,,
,TEXCOCO,,-,-,-,-,,,,,
,VALLE DE BRAVO,,*,  2.00,  2.00,  3.00,,,,,
MICHOACAN,,, 3 822, 11 520.66, 10 249.57, 12 631.36,,,,,
,ACUITZIO,,  18,  59.25,  55.00,  65.31,,,,,
,ALVARO OBREGON,,  32,  54.58,  44.00,  107.51,,,,,
,ANGAMACUTIRO,,  77,  204.25,  191.75,  155.93,,,,,
,BRISEÑAS,,  71,  197.00,  166.50,  193.02,,,,,
,COENEO,,*,  0.03,  0.03,  0.80,,,,,
,COPANDARO,,  7,  12.25,  11.25,  10.04,,,,,
,COTIJA,,  69,  257.59,  244.59,  339.98,,,,,
,CUITZEO,,  14,  24.50,  23.50,  58.48,,,,,
,CHARAPAN,,*,  4.00,  4.00,  0.39,,,,,
,CHARO,,  159,  207.92,  197.04,  259.50,,,,,
,CHAVINDA,,  94,  536.54,  536.54, 1 779.64,,,,,
,CHILCHOTA,,  38,  52.75,  46.75,  26.20,,,,,
,CHUCANDIRO,,  27,  38.50,  37.50,  21.17,,,,,
,CHURINTZIO,,  55,  120.50,  119.39,  119.45,,,,,
,ECUANDUREO,,  88,  257.00,  199.80,  155.63,,,,,
,HUANDACAREO,,  24,  37.50,  36.50,  40.65,,,,,
,HUANIQUEO,,*,  6.75,  6.75,  5.00,,,,,
,INDAPARAPEO,,  34,  73.00,  69.50,  91.24,,,,,
,IXTLAN,,  124,  409.25,  398.75,  472.24,,,,,
,JACONA,,  16,  89.40,  89.40,  149.00,,,,,
,JIMENEZ,,  17,  34.50,  27.00,  19.51,,,,,
,JIQUILPAN,,  181,  780.25,  706.50,  594.23,,,,,
,MARAVATIO,,  3,  2.50,  2.50,  1.62,,,,,
,MARCOS CASTELLANOS,,  28,  110.25,  110.25,  183.36,,,,,
,MORELIA,,  141,  273.89,  252.34,  224.82,,,,,
,NUMARAN,,  15,  44.69,  43.96,  54.70,,,,,
,PAJACUARAN,,  288, 1 164.32, 1 014.32, 1 218.14,,,,,
,PANINDICUARO,,  144,  314.21,  292.46,  180.40,,,,,
,PENJAMILLO,,  122,  318.15,  296.15,  155.74,,,,,
,PERIBAN,,*,  5.00,  5.00,  1.50,,,,,
,"PIEDAD, LA",,  54,  200.24,  167.44,  196.52,,,,,
,PUREPERO,,  30,  42.50,  42.50,  46.90,,,,,
,PURUANDIRO,,  419,  808.29,  759.43,  582.56,,,,,
,QUERENDARO,,*,  1.00,  1.00,  1.00,,,,,
,COJUMATLAN DE REGULES,,  27,  41.83,  41.83,  52.81,,,,,
,"REYES, LOS",,-,-,-,-,,,,,
,SAHUAYO,,  44,  213.50,  157.00,  180.12,,,,,
,SAN LUCAS,,*,  2.00,  2.00,  0.50,,,,,
,SANTA ANA MAYA,,  20,  49.73,  48.73,  35.53,,,,,
,SENGUIO,,*,  1.50,  1.50,  2.00,,,,,
,TANGAMANDAPIO,,  27,  133.50,  133.50,  168.94,,,,,
,TANGANCICUARO,,  48,  123.25,  121.75,  191.13,,,,,
,TANHUATO,,  37,  187.96,  187.96,  294.77,,,,,
,TARETAN,,-,-,-,-,,,,,
,TARIMBARO,,  62,  126.00,  113.50,  157.12,,,,,
,TINGUINDIN,,  89,  212.00,  205.00,  183.54,,,,,
,TLAZAZALCA,,  48,  109.25,  104.00,  83.92,,,,,
,TOCUMBO,,  29,  71.50,  71.00,  82.17,,,,,
,VENUSTIANO CARRANZA,,  380, 1 443.70,  913.14, 1 227.20,,,,,
,VILLAMAR,,  241,  883.00,  866.43,  754.23,,,,,
,VISTA HERMOSA,,  61,  204.50,  170.50,  427.41,,,,,
,YURECUARO,,  43,  123.00,  109.00,  201.25,,,,,
,ZACAPU,,  8,  11.25,  11.25,  5.91,,,,,
,ZAMORA,,  162,  626.25,  587.02,  847.61,,,,,
,ZINAPARO,,  38,  102.59,  102.59,  109.84,,,,,
,ZINAPECUARO,,*,  1.00,  1.00,  0.15,,,,,
,ZIRACUARETIRO,,-,-,-,-,,,,,
,JOSE SIXTO VERDUZCO,,  59,  111.00,  101.50,  113.05,,,,,
MORELOS,,,*,  5.00,  5.00,  3.90,,,,,
,AXOCHIAPAN,,*,  5.00,  5.00,  3.90,,,,,
,YAUTEPEC,,-,-,-,-,,,,,
NAYARIT,,,  81,  285.25,  277.75,  410.33,,,,,
,AHUACATLAN,,  15,  32.00,  30.50,  52.50,,,,,
,AMATLAN DE CAÑAS,,*,  0.50,  0.50,  1.25,,,,,
,COMPOSTELA,,  6,  35.00,  33.00,  53.66,,,,,
,IXTLAN DEL RIO,,  35,  165.50,  163.50,  235.23,,,,,
,JALA,,-,-,-,-,,,,,
,XALISCO,,*,  1.00,  1.00,  1.50,,,,,
,SAN PEDRO LAGUNILLAS,,  22,  47.25,  45.25,  64.20,,,,,
,SANTIAGO IXCUINTLA,,*,  4.00,  4.00,  2.00,,,,,
NUEVO LEON,,,  23,  25.08,  20.58,  5.55,,,,,
,ARAMBERRI,,  16,  13.58,  13.58,  3.08,,,,,
,GALEANA,,*,  8.00,  4.00,  1.50,,,,,
,GENERAL TERAN,,-,-,-,-,,,,,
,ITURBIDE,,*,  0.50,  0.50,  0.30,,,,,
,LINARES,,  5,  3.00,  2.50,  0.67,,,,,
OAXACA,,,  360,  379.80,  315.74,  123.14,,,,,
,ASUNCION OCOTLAN,,  30,  20.45,  19.20,  3.04,,,,,
,CIENEGA DE ZIMATLAN (LA CIENEGA),,-,-,-,-,,,,,
,COATECAS ALTAS,,-,-,-,-,,,,,
,CONCEPCION PAPALO,,*,  6.00,  6.00,  3.00,,,,,
,CUILAPAM DE GUERRERO,,*,  0.50,  0.50,  0.25,,,,,
,EJUTLA DE CRESPO,,  4,  2.50,  2.25,  0.76,,,,,
,GUADALUPE ETLA,,*,  0.50,  0.50,  0.20,,,,,
,GUELATAO DE JUAREZ,,*,  0.50,  0.50,  0.08,,,,,
,HUAJUAPAM DE LEON,,*,  0.75,  0.75,  0.26,,,,,
,IXTLAN DE JUAREZ,,-,-,-,-,,,,,
,MAGDALENA APASCO,,*,  0.25,  0.25,  0.10,,,,,
,MAGDALENA OCOTLAN,,  10,  15.25,  14.75,  18.94,,,,,
,MAGDALENA TEITIPAC,,  6,  5.75,  2.85,  0.25,,,,,
,MARTIRES DE TACUBAYA,,*,  1.25,  1.25,  0.71,,,,,
,MIAHUATLAN DE PORFIRIO DIAZ,,*,  1.00,  1.00,  0.08,,,,,
,OAXACA DE JUAREZ,,*,  1.00,  0.04,  0.03,,,,,
,OCOTLAN DE MORELOS,,-,-,-,-,,,,,
,"PE, LA",,-,-,-,-,,,,,
,SAN JOSE DEL PROGRESO,,*,  4.00,  4.00,  0.11,,,,,
,SAN AGUSTIN YATARENI,,-,-,-,-,,,,,
,SAN ANDRES ZAUTLA,,  3,  1.25,  1.25,  0.15,,,,,
,SAN ANTONINO CASTILLO VELASCO,,  3,  0.43,  0.43,  0.91,,,,,
,SAN ANTONIO HUITEPEC,,-,-,-,-,,,,,
,SAN BALTAZAR CHICHICAPAM,,*,  0.75,  0.75,  0.30,,,,,
,SAN BARTOLO COYOTEPEC,,  3,  5.00,  4.00,  10.50,,,,,
,SAN BARTOLOME QUIALANA,,  3,  3.03,  2.03,  0.15,,,,,
,SAN BLAS ATEMPA,,*,  1.00,  1.00,  1.00,,,,,
